SURVEY: Hicken2009_LC
SNID: sn2005eq
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.074 MW E(B-V)
REDSHIFT_HELIO: 0.028977 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53654.769
FILTERS: UBVRIfhjklabcde

NOBS: 141
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53648.371 h  NULL    20026.2603 313.5512
OBS: 53650.413 h  NULL    22407.8330 309.5642
OBS: 53656.370 h  NULL    22615.1706 312.4286
OBS: 53665.388 h  NULL    14845.6722 246.1115
OBS: 53666.457 h  NULL    13816.5581 267.2260
OBS: 53667.374 h  NULL    12989.7225 203.3801
OBS: 53667.453 h  NULL    12977.7636 274.9080
OBS: 53671.316 h  NULL    9053.1527 158.4211
OBS: 53676.345 h  NULL    5638.9710 150.6113
OBS: 53677.366 h  NULL    5199.9583 134.0965
OBS: 53678.376 h  NULL    4929.4659 118.0410
OBS: 53679.356 h  NULL    4381.2685 108.9490
OBS: 53680.377 h  NULL    4203.3917 108.3971
OBS: 53681.328 h  NULL    3654.2635 94.2361
OBS: 53682.359 h  NULL    3624.0974 110.1472
OBS: 53683.369 h  NULL    3229.9802 127.9169
OBS: 53695.330 h  NULL    1831.4702 183.8595
OBS: 53696.347 h  NULL    1563.1472 211.6298
OBS: 53706.350 h  NULL    1426.9208 95.9362
OBS: 53710.308 h  NULL    1204.4807 79.8715
OBS: 53729.224 h  NULL    929.8221 73.6475
OBS: 53730.274 h  NULL    1018.5911 144.4708
OBS: 53731.266 h  NULL    930.6789 84.0012
OBS: 53737.257 h  NULL    851.9221 87.0928
OBS: 53648.374 f  NULL    28920.1140 1385.0933
OBS: 53650.416 f  NULL    31651.9157 1370.1671
OBS: 53650.419 f  NULL    32033.1760 1416.1750
OBS: 53656.373 f  NULL    26964.9736 1216.9473
OBS: 53656.377 f  NULL    27264.6546 1230.4721
OBS: 53663.366 f  NULL    14047.5310 737.4805
OBS: 53665.384 f  NULL    11470.9662 993.1241
OBS: 53666.453 f  NULL    10725.0667 928.5462
OBS: 53667.446 f  NULL    10452.0144 510.2130
OBS: 53671.319 f  NULL    6292.1635 336.1272
OBS: 53676.352 f  NULL    4211.1431 290.8955
OBS: 53677.358 f  NULL    3819.4427 313.0875
OBS: 53678.372 f  NULL    3360.4698 263.0841
OBS: 53680.370 f  NULL    3133.2857 274.1570
OBS: 53681.321 f  NULL    2299.3231 256.2483
OBS: 53681.324 f  NULL    2320.5985 292.8170
OBS: 53682.366 f  NULL    2329.1636 377.5621
OBS: 53685.355 f  NULL    1527.5661 461.4764
OBS: 53706.353 f  NULL    1344.0023 357.7450
OBS: 53710.315 f  NULL    1371.5132 363.8046
OBS: 53714.235 f  NULL    1404.7531 390.7353
OBS: 53724.311 f  NULL    1189.0497 357.0206
OBS: 53648.364 j  NULL    21817.2429 462.1546
OBS: 53648.365 j  NULL    21717.0012 280.0190
OBS: 53650.407 j  NULL    24032.5504 619.7514
OBS: 53650.407 j  NULL    24660.3856 295.2588
OBS: 53656.364 j  NULL    25515.2519 681.4869
