SURVEY: DES
SNID: 1342255
IAUC:       NULL                
FILTERS: griz
FAKE:         0
TYPE:         1
MASK_FLUXCOR_SNANA:    3
RA:            40.743481               # deg
DEC:          -0.267406               # deg
MWEBV: 0.024 # MW E(B-V)
MWEBV_ERR:    0.001                    # MW E(B-V)
PIXSIZE:     0.2700                    # arcSec
PEAKMJD:     57382.648
REDSHIFT_HELIO: 0.21500 +- 0.00500
REDSHIFT_CMB: 0.21426 +- 0.00498
VPEC: 59.579
VPEC_ERR: 250.000
  
HOSTGAL_OBJID:        44599
HOSTGAL_PHOTOZ:    0.2987 +-  0.0676   # (HELIO)
HOSTGAL_SPECZ:     0.2198 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP:     2.8300              # arcSec
HOSTGAL_LOGMASS: 10.024 +- 0.067
HOSTGAL_MAG:            22.22    21.34    20.95    20.72    # griz
HOSTGAL_SB_FLUXCAL:      5.09    11.48    16.05    16.39    # griz
  
# Private variables
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
#==============================
NOBS:  25
NVAR:  11
VARLIST: MJD BAND FIELD  FLUXCAL FLUXCALERR  ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB 
OBS: 57365.107 DES-g S2 1.5940 4.8846 30.669 1.890 7.97 3.490 0 1.140
OBS: 57365.110 DES-r S2 0.37700 4.1869 30.719 1.650 11.11 3.550 0 1.030
OBS: 57365.112 DES-i S2 7.1760 6.1829 30.964 1.580 19.32 3.660 0 0.900
OBS: 57365.115 DES-z S2 -6.6850 6.3002 30.604 1.495 15.99 3.955 0 0.930
OBS: 57372.100 DES-g S2 41.233 7.2343 30.681 2.830 9.15 3.550 0 0.920
OBS: 57372.102 DES-r S2 55.587 6.7923 30.730 2.460 11.98 3.530 0 1.010
OBS: 57372.104 DES-i S2 52.910 8.4083 30.984 2.210 20.58 3.660 0 0.960
OBS: 57372.107 DES-z S2 37.466 9.7398 30.653 2.028 19.24 3.984 0 1.010
OBS: 57385.064 DES-g S2 530.65 7.7149 30.701 2.390 7.67 3.520 0 1.050
OBS: 57385.067 DES-r S2 499.86 7.5289 30.744 1.980 10.59 3.500 0 1.100
OBS: 57385.069 DES-i S2 413.14 8.8453 31.000 1.960 19.94 3.680 0 0.950
OBS: 57385.071 DES-z S2 294.57 8.8760 30.686 1.740 18.81 3.955 0 0.880
OBS: 57389.109 DES-g S2 582.20 8.3982 30.681 2.510 8.43 3.530 0 1.020
OBS: 57389.111 DES-r S2 565.93 8.5817 30.735 2.300 11.96 3.510 0 1.010
OBS: 57389.113 DES-i S2 462.11 11.098 30.985 2.360 23.19 3.690 0 0.900
OBS: 57389.116 DES-z S2 284.61 12.000 30.642 2.153 21.67 3.930 0 0.920
OBS: 57396.096 DES-g S2 458.97 8.1271 30.671 2.500 8.72 3.530 0 1.090
OBS: 57396.099 DES-r S2 550.54 8.8352 30.723 2.290 12.58 3.550 0 0.970
OBS: 57396.101 DES-i S2 450.32 12.143 30.977 2.110 24.94 3.690 0 0.990
OBS: 57396.103 DES-z S2 236.93 13.033 30.606 2.147 23.71 3.925 0 0.990
OBS: 57403.097 DES-g S2 289.01 12.801 30.650 2.010 17.14 3.710 0 0.940
OBS: 57403.099 DES-r S2 425.67 14.838 30.715 1.740 19.97 3.580 0 1.090
OBS: 57403.101 DES-i S2 345.38 11.726 30.975 1.670 30.83 3.720 0 1.010
OBS: 57403.103 DES-z S2 191.10 12.497 30.641 1.710 27.98 3.920 0 0.990
OBS: 57428.056 DES-g S2 49.597 7.5220 30.595 2.850 9.34 3.600 0 0.990
END: 
