SURVEY: Jha2006_LC
SNID: sn1999ek
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Jha2006_LC
MWEBV: 0.561 MW E(B-V)
REDSHIFT_HELIO: 0.017522 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 51482.183
FILTERS: UBVRIfhjkl

NOBS: 153
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 51478.340 B  NULL    5964.8548 130.8359
OBS: 51478.340 B  NULL    6036.7039 121.5926
OBS: 51479.336 B  NULL    6385.5730 243.5044
OBS: 51479.340 B  NULL    6760.8278 232.8772
OBS: 51480.258 B  NULL    5915.6147 382.8881
OBS: 51480.258 B  NULL    6403.2414 484.7761
OBS: 51481.285 B  NULL    6680.3602 104.1327
OBS: 51481.289 B  NULL    6729.7647 146.5442
OBS: 51483.363 B  NULL    6576.5766 96.9924
OBS: 51483.367 B  NULL    6835.9658 94.4564
OBS: 51484.234 B  NULL    6498.3018 90.4071
OBS: 51484.238 B  NULL    6409.1417 89.3426
OBS: 51485.301 B  NULL    6321.2051 172.2133
OBS: 51485.305 B  NULL    6115.0481 322.8122
OBS: 51486.324 B  NULL    5921.0657 83.5557
OBS: 51486.324 B  NULL    5959.3635 89.0551
OBS: 51487.312 B  NULL    5712.1536 81.1017
OBS: 51487.312 B  NULL    5738.5197 91.1245
OBS: 51487.410 B  NULL    5316.1825 108.2812
OBS: 51488.313 B  NULL    5335.8041 76.7217
OBS: 51489.262 B  NULL    4835.0379 91.1666
OBS: 51489.266 B  NULL    4975.0778 89.1920
OBS: 51490.344 B  NULL    4537.3249 67.6427
OBS: 51490.348 B  NULL    4470.9507 77.8011
OBS: 51492.359 B  NULL    3794.8960 71.4889
OBS: 51492.371 B  NULL    3833.5390 183.2382
OBS: 51493.312 B  NULL    3410.3573 60.6492
OBS: 51493.328 B  NULL    3397.8162 63.1107
OBS: 51495.410 B  NULL    2694.0142 81.8133
OBS: 51501.348 B  NULL    1375.3077 47.3005
OBS: 51501.352 B  NULL    1353.9415 51.4496
OBS: 51503.195 B  NULL    702.1015 138.7193
OBS: 51504.207 B  NULL    948.8551 157.5084
OBS: 51506.278 B  NULL    753.0085 146.8443
OBS: 51508.336 B  NULL    750.2394 98.6188
OBS: 51517.370 B  NULL    423.0580 60.9790
OBS: 51521.310 B  NULL    402.5315 65.1551
OBS: 51545.340 B  NULL    305.9144 48.1141
OBS: 51478.340 I  NULL    23834.1777 351.2204
OBS: 51478.340 I  NULL    23572.2028 325.6500
OBS: 51479.336 I  NULL    25609.4450 636.8301
OBS: 51479.340 I  NULL    24660.4036 726.7914
OBS: 51480.258 I  NULL    23463.8979 1707.2098
OBS: 51480.258 I  NULL    23485.5191 1557.3717
OBS: 51481.285 I  NULL    23463.8979 324.1538
OBS: 51481.289 I  NULL    23334.5901 322.3674
OBS: 51483.363 I  NULL    21379.6299 315.0502
OBS: 51483.367 I  NULL    21261.8067 293.7319
OBS: 51484.234 I  NULL    20796.9754 287.3102
OBS: 51484.238 I  NULL    20912.2213 288.9023
OBS: 51485.301 I  NULL    19934.2624 293.7513
OBS: 51485.305 I  NULL    19142.5662 405.4970
OBS: 51486.324 I  NULL    19266.3816 266.1651
OBS: 51486.324 I  NULL    19678.8704 271.8636
OBS: 51487.312 I  NULL    18180.2641 267.9044
OBS: 51487.312 I  NULL    18810.4926 294.5159
OBS: 51487.410 I  NULL    19002.0370 297.5149
OBS: 51488.313 I  NULL    17108.0373 236.3475
OBS: 51489.262 I  NULL    16428.5857 363.1374
OBS: 51489.266 I  NULL    16353.1029 361.4690
OBS: 51490.344 I  NULL    14507.7537 307.3177
OBS: 51490.348 I  NULL    15024.5046 262.9138
OBS: 51492.359 I  NULL    12906.2529 213.9599
