SURVEY: SDSS
SNID: 18927.0
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SDSS
MWEBV: 0.0713 MW E(B-V)
REDSHIFT_HELIO: 0.214 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 54386.818
FILTERS: tvywxABCfhjklugriz

NOBS: 89
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 54357.410 g  NULL    1.1300 14.7630
OBS: 54362.461 g  NULL    -7.4200 14.1590
OBS: 54376.457 g  NULL    132.9301 18.8510
OBS: 54382.441 g  NULL    284.9501 17.7300
OBS: 54385.461 g  NULL    285.4801 16.2150
OBS: 54387.461 g  NULL    258.8701 20.6860
OBS: 54391.461 g  NULL    192.0701 26.2120
OBS: 54394.445 g  NULL    233.6501 41.9800
OBS: 54396.465 g  NULL    143.5801 21.7740
OBS: 54402.453 g  NULL    144.1201 53.8480
OBS: 54408.367 g  NULL    55.8700 13.6180
OBS: 54411.328 g  NULL    46.4900 15.8120
OBS: 54413.367 g  NULL    15.3000 24.5700
OBS: 54415.379 g  NULL    35.4500 14.0650
OBS: 54417.367 g  NULL    23.6600 14.5090
OBS: 54418.367 g  NULL    21.3800 16.3530
OBS: 54422.371 g  NULL    -2.5600 20.0400
OBS: 54424.309 g  NULL    -14.3000 25.4360
OBS: 54357.410 r  NULL    21.8900 23.8820
OBS: 54362.461 r  NULL    -10.0200 22.4500
OBS: 54376.457 r  NULL    180.1700 24.5140
OBS: 54382.441 r  NULL    287.6399 30.4980
OBS: 54385.461 r  NULL    319.2899 24.6250
OBS: 54390.453 r  NULL    300.4099 41.8690
OBS: 54391.461 r  NULL    376.3199 42.9460
OBS: 54394.445 r  NULL    293.2700 39.9370
OBS: 54396.465 r  NULL    285.5200 38.0330
OBS: 54402.453 r  NULL    203.6600 49.9560
OBS: 54408.367 r  NULL    159.8000 21.1250
OBS: 54411.328 r  NULL    105.7100 23.4930
OBS: 54415.379 r  NULL    101.9800 21.3460
OBS: 54417.367 r  NULL    59.6200 23.4540
OBS: 54418.367 r  NULL    112.6000 27.3900
OBS: 54424.309 r  NULL    61.7800 26.3660
OBS: 54357.410 i  NULL    48.5000 31.1600
OBS: 54382.441 i  NULL    403.5898 41.5930
OBS: 54385.461 i  NULL    349.0199 32.8990
OBS: 54387.461 i  NULL    423.8598 41.0960
OBS: 54390.453 i  NULL    399.4998 58.2910
OBS: 54391.461 i  NULL    350.6399 54.7580
OBS: 54394.445 i  NULL    446.3698 62.5140
OBS: 54396.465 i  NULL    295.3899 50.5360
OBS: 54402.453 i  NULL    164.0099 47.6650
OBS: 54408.367 i  NULL    267.4499 30.4980
OBS: 54411.328 i  NULL    208.9399 32.8720
OBS: 54413.367 i  NULL    233.6899 43.1390
OBS: 54415.379 i  NULL    212.6799 31.0220
OBS: 54417.367 i  NULL    96.9500 32.8160
OBS: 54418.367 i  NULL    134.9199 39.0260
OBS: 54422.371 i  NULL    152.9299 46.3400
OBS: 54424.309 i  NULL    175.3499 34.5280
OBS: 54357.410 z  NULL    11.0400 91.8800
OBS: 54362.461 z  NULL    92.3700 113.1321
OBS: 54376.457 z  NULL    74.8300 102.9200
OBS: 54382.441 z  NULL    203.7901 123.0411
OBS: 54385.461 z  NULL    -42.5600 104.6590
OBS: 54387.461 z  NULL    147.0301 134.0261
OBS: 54390.453 z  NULL    601.4103 213.6791
OBS: 54391.461 z  NULL    33.9500 207.0281
OBS: 54394.445 z  NULL    297.3801 203.5221
OBS: 54396.465 z  NULL    169.7901 176.9441
OBS: 54402.453 z  NULL    154.6201 144.7901
OBS: 54408.367 z  NULL    33.2500 95.2750
OBS: 54411.328 z  NULL    119.1801 113.3811
OBS: 54413.367 z  NULL    122.8701 172.7481
OBS: 54415.379 z  NULL    31.9900 93.0670
OBS: 54417.367 z  NULL    230.9001 107.6680
OBS: 54418.367 z  NULL    204.9501 135.2121
OBS: 54422.371 z  NULL    -51.7200 165.6831
OBS: 54424.309 z  NULL    146.4601 95.4130
OBS: 54357.410 u  NULL    -43.5600 40.8200
OBS: 54362.461 u  NULL    25.8100 43.8290
OBS: 54376.457 u  NULL    -54.9100 53.3510
OBS: 54382.441 u  NULL    141.0500 52.5780
OBS: 54385.461 u  NULL    58.8400 52.2470
OBS: 54387.461 u  NULL    -115.6700 64.1700
OBS: 54390.453 u  NULL    4.6300 101.2370
OBS: 54391.461 u  NULL    9.4200 81.2270
OBS: 54394.445 u  NULL    -175.8399 106.4530
OBS: 54396.465 u  NULL    12.6100 77.4730
OBS: 54402.453 u  NULL    280.8799 161.7079
OBS: 54408.367 u  NULL    23.3700 39.1640
OBS: 54411.328 u  NULL    63.4200 48.2450
OBS: 54413.367 u  NULL    -104.1900 72.2840
OBS: 54415.379 u  NULL    23.8400 44.8500
OBS: 54417.367 u  NULL    -3.9400 44.8500
OBS: 54418.367 u  NULL    -36.8000 54.0680
OBS: 54422.371 u  NULL    164.0099 72.7260
OBS: 54424.309 u  NULL    -7.6300 64.4740
END_PHOTOMETRY:

# =============================================
