SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-17aj
RA: 173.2941127
DECL: -10.2220743
MWEBV: 0.0360 +- 0.0018
FILTERS: griz
REDSHIFT_HELIO: 0.0212750 +- 0.0001070
REDSHIFT_FINAL: 0.0217475 +- 0.0001070
SEARCH_PEAKMJD: 57773.11700
HOSTGAL_LOGMASS: 10.476 +- 0.014
VPEC: 7.370
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 27
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57767.66312      g    NULL    39067.047        620.578    16.020     0.017  2.17
OBS:  57776.66166      g    NULL    42943.014        648.701    15.918     0.016  2.75
OBS:  57781.58834      g    NULL    35943.995        541.550    16.111     0.016  2.11
OBS:  57788.56778      g    NULL    19427.845        337.353    16.779     0.019  2.24
OBS:  57801.56316      g    NULL     7185.507        187.436    17.859     0.028  2.32
OBS:  57828.44951      g    NULL     3279.156        279.344    18.711     0.092  2.19
OBS:  57767.66353      r    NULL    36195.689        551.939    16.103     0.017  1.79
OBS:  57776.66206      r    NULL    43393.331        643.686    15.906     0.016  2.68
OBS:  57781.58874      r    NULL    36719.283        542.881    16.088     0.016  1.89
OBS:  57788.56819      r    NULL    23955.135        374.545    16.552     0.017  1.91
OBS:  57801.56357      r    NULL    19348.777        319.366    16.783     0.018  2.14
OBS:  57828.44991      r    NULL     6345.701        220.474    17.994     0.038  1.95
OBS:  57767.66388      i    NULL    26082.945        414.148    16.459     0.017  1.68
OBS:  57776.66242      i    NULL    23859.101        387.332    16.556     0.018  2.70
OBS:  57781.58910      i    NULL    20026.311        319.343    16.746     0.017  1.57
OBS:  57788.56855      i    NULL    14090.049        242.920    17.128     0.019  1.63
OBS:  57801.56392      i    NULL    16997.640        291.446    16.924     0.019  1.77
OBS:  57828.45028      i    NULL     5405.550        177.061    18.168     0.035  1.97
OBS:  57801.52229      i    NULL    18188.046        268.567    16.851     0.016  1.89
OBS:  57801.53476      i    NULL    17648.819        261.716    16.883     0.016  1.79
OBS:  57801.54725      i    NULL    18021.746        267.031    16.861     0.016  1.81
OBS:  57801.55972      i    NULL    18349.286        271.337    16.841     0.016  1.81
OBS:  57776.66277      z    NULL    24855.913        433.432    16.511     0.019  2.53
OBS:  57781.58946      z    NULL    20551.718        352.429    16.718     0.019  1.61
OBS:  57788.56890      z    NULL    17583.538        315.026    16.887     0.019  1.47
OBS:  57801.56428      z    NULL    18370.839        338.986    16.840     0.020  1.67
OBS:  57828.45063      z    NULL     4961.628        235.258    18.261     0.051  1.66
END:
