SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15pm
RA: 24.6504027
DECL: -4.6797996
MWEBV: 0.0277 +- 0.0014
FILTERS: griz
REDSHIFT_HELIO: 0.0487840 +- 0.0001500
REDSHIFT_FINAL: 0.0478146 +- 0.0001500
SEARCH_PEAKMJD: 57277.57249
HOSTGAL_LOGMASS: 10.667 +- 0.097
VPEC: 187.257
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 35
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57277.57249      g    NULL    12905.246        230.894    17.223     0.019  1.54
OBS:  57288.47566      g    NULL     8731.555        188.681    17.647     0.023  1.60
OBS:  57298.41384      g    NULL     3742.862        132.306    18.567     0.038  1.96
OBS:  57305.43432      g    NULL     2163.405         81.287    19.162     0.041  1.67
OBS:  57309.51822      g    NULL     1511.611        115.066    19.551     0.082  2.76
OBS:  57314.37200      g    NULL     1203.782         94.379    19.799     0.085  1.72
OBS:  57319.41581      g    NULL     1197.021        187.438    19.805     0.169  2.67
OBS:  57277.57290      r    NULL    11651.666        200.222    17.334     0.019  1.21
OBS:  57288.47605      r    NULL     8861.727        169.876    17.631     0.021  1.58
OBS:  57298.41425      r    NULL     6255.710        147.418    18.009     0.025  2.12
OBS:  57305.43471      r    NULL     4772.305        106.235    18.303     0.024  1.72
OBS:  57309.51863      r    NULL     4323.946        123.313    18.410     0.031  2.33
OBS:  57314.37241      r    NULL     3014.634        102.789    18.802     0.037  1.90
OBS:  57319.41621      r    NULL     2304.003        156.203    19.094     0.073  2.58
OBS:  57277.57325      i    NULL     6190.421        130.180    18.021     0.023  1.16
OBS:  57288.47641      i    NULL     4289.656        111.218    18.419     0.028  1.50
OBS:  57298.41461      i    NULL     3234.441        121.977    18.726     0.041  1.92
OBS:  57305.43508      i    NULL     3958.888        100.607    18.506     0.027  1.45
OBS:  57309.51898      i    NULL     3758.649        129.264    18.562     0.037  2.19
OBS:  57314.37276      i    NULL     3271.519        111.210    18.713     0.037  1.52
OBS:  57319.41656      i    NULL     1788.888        158.689    19.369     0.096  2.44
OBS:  57288.43652      i    NULL     4164.125         82.615    18.451     0.021  1.63
OBS:  57288.44875      i    NULL     4077.440         80.943    18.474     0.021  1.75
OBS:  57288.46091      i    NULL     4231.467         81.035    18.434     0.021  1.63
OBS:  57288.47306      i    NULL     4191.504         78.830    18.444     0.020  1.51
OBS:  57290.49606      i    NULL     3355.266        124.486    18.686     0.040  3.88
OBS:  57290.50775      i    NULL     3340.827        116.145    18.690     0.038  3.48
OBS:  57290.51944      i    NULL     3207.093        108.457    18.735     0.037  3.17
OBS:  57290.53235      i    NULL     3443.970        118.576    18.657     0.037  3.41
OBS:  57288.47677      z    NULL     3872.901        138.297    18.530     0.039  1.29
OBS:  57298.41496      z    NULL     3512.172        143.539    18.636     0.044  1.49
OBS:  57305.43544      z    NULL     3944.644        146.749    18.510     0.040  1.54
OBS:  57309.51933      z    NULL     3302.605        167.933    18.703     0.055  2.03
OBS:  57314.37312      z    NULL     2535.269        148.803    18.990     0.063  1.55
OBS:  57319.41693      z    NULL     1893.027        253.382    19.307     0.145  2.79
END:
