SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS15atx
RA: 195.8273903
DECL: -23.0657985
MWEBV: 0.1059 +- 0.0053
FILTERS: griz
REDSHIFT_HELIO: 0.0718807 +- 0.0002677
REDSHIFT_FINAL: 0.0729385 +- 0.0002677
SEARCH_PEAKMJD: 57192.27124
HOSTGAL_LOGMASS: 10.564 +- 0.001
VPEC: 45.109
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 26
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57192.27124      g    NULL     3316.977        116.658    18.698     0.038  1.81
OBS:  57202.26859      g    NULL     1947.847        149.671    19.276     0.083  1.49
OBS:  57206.26886      g    NULL     1382.168        149.661    19.649     0.117  1.62
OBS:  57212.26694      g    NULL      509.488        104.546    20.732     0.222  2.06
OBS:  57221.26598      g    NULL      505.625        157.108    20.740     0.336  3.97
OBS:  57230.26216      g    NULL       38.145        247.503    23.546     7.008  2.99
OBS:  57192.27166      r    NULL     2861.370         98.431    18.859     0.037  1.47
OBS:  57202.26901      r    NULL     2372.845        120.563    19.062     0.055  1.45
OBS:  57206.26928      r    NULL     1547.044        123.879    19.526     0.086  1.66
OBS:  57212.26736      r    NULL     1695.512        100.146    19.427     0.064  1.76
OBS:  57221.26645      r    NULL     1009.324        158.837    19.990     0.170  3.31
OBS:  57230.26259      r    NULL      973.799        194.199    20.029     0.215  2.74
OBS:  57192.27202      i    NULL     2159.351        108.941    19.164     0.055  1.56
OBS:  57202.26936      i    NULL     1383.354        109.312    19.648     0.085  1.43
OBS:  57206.26957      i    NULL      929.501        116.178    20.079     0.135  1.48
OBS:  57212.26762      i    NULL     1400.149        106.367    19.635     0.082  1.55
OBS:  57221.26685      i    NULL      547.934        179.531    20.653     0.354  3.19
OBS:  57230.26294      i    NULL      604.483        175.052    20.547     0.313  2.36
OBS:  57192.27240      z    NULL     1459.057        133.003    19.590     0.098  1.44
OBS:  57202.26971      z    NULL     1157.600        139.371    19.841     0.130  1.24
OBS:  57206.26998      z    NULL     1381.684        164.482    19.649     0.129  1.42
OBS:  57212.26806      z    NULL      577.916        160.050    20.595     0.299  1.56
OBS:  57221.26719      z    NULL     1068.268        274.706    19.928     0.278  2.98
OBS:  57230.26318      z    NULL     -205.422        225.476       nan     1.185  2.11
OBS:  57230.25843      z    NULL      537.564        200.065    20.674     0.402  2.75
OBS:  57234.25839      z    NULL      355.632        302.316    21.122     0.918  4.17
END:
