SURVEY: Hicken2009_LC
SNID: sn2006cc
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.015 MW E(B-V)
REDSHIFT_HELIO: 0.032529 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53874.013
FILTERS: UBVRIfhjklabcde

NOBS: 123
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53864.259 h  NULL    3551.4023 134.1045
OBS: 53865.413 h  NULL    3995.7643 161.9244
OBS: 53866.218 h  NULL    4591.9787 334.1078
OBS: 53867.375 h  NULL    5195.1712 153.1121
OBS: 53871.245 h  NULL    6661.9269 159.5265
OBS: 53872.317 h  NULL    6829.6723 163.5433
OBS: 53873.255 h  NULL    7033.9595 142.5221
OBS: 53874.254 h  NULL    6918.3076 146.5505
OBS: 53877.356 h  NULL    6303.7628 110.3095
OBS: 53878.377 h  NULL    6356.2338 146.3523
OBS: 53878.415 h  NULL    6115.0479 123.9031
OBS: 53879.371 h  NULL    5712.1534 121.0005
OBS: 53880.398 h  NULL    5780.9586 106.4853
OBS: 53882.348 h  NULL    5030.3693 115.8243
OBS: 53886.369 h  NULL    3739.3823 106.7631
OBS: 53890.414 h  NULL    2327.0186 85.7274
OBS: 53891.379 h  NULL    2348.5503 103.8247
OBS: 53894.377 h  NULL    1841.6193 161.1325
OBS: 53907.369 h  NULL    488.4272 77.8226
OBS: 53864.255 f  NULL    4130.4750 532.6031
OBS: 53865.417 f  NULL    5571.8575 384.8903
OBS: 53865.421 f  NULL    4634.4692 320.1378
OBS: 53867.367 f  NULL    6975.8960 443.3276
OBS: 53867.371 f  NULL    8195.9632 392.5356
OBS: 53871.249 f  NULL    7164.7328 448.7295
OBS: 53871.252 f  NULL    6631.3202 427.5370
OBS: 53872.321 f  NULL    6438.7268 438.8412
OBS: 53872.324 f  NULL    7171.3348 515.1934
OBS: 53873.259 f  NULL    6552.3939 350.0287
OBS: 53873.263 f  NULL    6456.5423 279.4947
OBS: 53874.258 f  NULL    5942.9216 328.4180
OBS: 53874.261 f  NULL    5649.3697 296.5859
OBS: 53877.360 f  NULL    5400.0776 228.7881
OBS: 53877.363 f  NULL    5350.5694 290.7553
OBS: 53878.380 f  NULL    4893.2792 274.9195
OBS: 53878.419 f  NULL    5277.1568 311.0682
OBS: 53878.422 f  NULL    5335.8056 285.0386
OBS: 53879.375 f  NULL    4454.5106 258.4736
OBS: 53879.379 f  NULL    4353.1136 256.5994
OBS: 53880.402 f  NULL    3654.2647 289.4504
OBS: 53880.405 f  NULL    3701.6896 276.1600
OBS: 53882.352 f  NULL    3574.3741 273.2460
OBS: 53882.355 f  NULL    2981.2610 302.0427
OBS: 53886.373 f  NULL    2502.6493 225.8925
OBS: 53886.376 f  NULL    2331.3099 255.5187
OBS: 53890.418 f  NULL    2183.7353 225.2650
OBS: 53864.249 j  NULL    4911.3384 135.7003
OBS: 53865.406 j  NULL    5623.4114 124.2999
OBS: 53866.208 j  NULL    6211.5481 291.7626
OBS: 53867.364 j  NULL    7812.6768 165.4959
OBS: 53870.427 j  NULL    7884.9665 479.2956
OBS: 53870.448 j  NULL    7613.7718 266.4668
OBS: 53871.242 j  NULL    9514.8042 131.4470
OBS: 53872.314 j  NULL    9488.5501 148.5622
OBS: 53872.349 j  NULL    9585.1708 141.2471
OBS: 53873.252 j  NULL    9781.3738 144.1383
OBS: 53874.251 j  NULL    10176.5333 140.5888
OBS: 53874.452 j  NULL    10185.9105 159.4808
OBS: 53877.353 j  NULL    9656.0578 142.2917
OBS: 53878.374 j  NULL    9488.5501 174.7791
OBS: 53878.412 j  NULL    9229.9608 136.0127
OBS: 53879.368 j  NULL    9111.7093 134.2701
OBS: 53880.395 j  NULL    8896.1041 131.0930
OBS: 53882.345 j  NULL    8211.0719 128.5608
OBS: 53886.366 j  NULL    6661.9268 116.5771
OBS: 53890.411 j  NULL    5385.1754 119.0339
OBS: 53891.376 j  NULL    4803.9653 115.0357
OBS: 53894.374 j  NULL    3671.1307 118.3389
OBS: 53899.343 j  NULL    3763.5688 155.9811
OBS: 53902.344 j  NULL    2686.5805 106.3966
OBS: 53907.366 j  NULL    2208.0040 99.6450
OBS: 53915.388 j  NULL    1245.0875 105.4988
OBS: 53864.246 l  NULL    5536.0503 101.9740
OBS: 53865.411 l  NULL    6892.8690 139.6633
OBS: 53866.205 l  NULL    7358.6818 250.7618
OBS: 53870.443 l  NULL    8558.5467 283.7672
OBS: 53872.309 l  NULL    8158.3066 165.3036
OBS: 53872.344 l  NULL    8503.5452 164.4671
OBS: 53873.248 l  NULL    8150.7960 142.6308
OBS: 53874.246 l  NULL    8009.4008 177.0398
OBS: 53874.448 l  NULL    7812.6798 143.9096
OBS: 53877.348 l  NULL    7277.7985 140.7599
OBS: 53878.407 l  NULL    7291.2170 120.8738
OBS: 53879.364 l  NULL    6899.2205 120.7295
OBS: 53880.390 l  NULL    6711.1976 111.2582
OBS: 53882.340 l  NULL    5904.7298 114.2034
OBS: 53886.361 l  NULL    4261.8683 98.1295
OBS: 53890.407 l  NULL    3657.6321 97.6917
OBS: 53891.372 l  NULL    3594.1816 129.0994
OBS: 53894.370 l  NULL    3944.5733 130.7863
OBS: 53899.338 l  NULL    4293.3869 138.3973
OBS: 53902.339 l  NULL    4638.7399 111.0793
OBS: 53907.361 l  NULL    4325.1386 95.6029
OBS: 53915.384 l  NULL    2664.4037 132.5115
OBS: 53928.326 l  NULL    1813.0093 200.3738
OBS: 53929.339 l  NULL    1629.2961 196.5762
OBS: 53864.244 k  NULL    5530.9538 117.1622
OBS: 53865.409 k  NULL    6982.3245 122.1837
OBS: 53866.203 k  NULL    7406.2784 231.9202
OBS: 53867.360 k  NULL    8645.6975 151.2911
OBS: 53870.425 k  NULL    10027.6701 203.1806
OBS: 53870.446 k  NULL    11015.3942 304.3553
OBS: 53871.240 k  NULL    10725.0677 158.0446
OBS: 53872.311 k  NULL    10964.7826 161.5770
OBS: 53872.347 k  NULL    11727.3538 172.8143
OBS: 53873.250 k  NULL    11662.7246 171.8619
