SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS15ahs
RA: 269.8740396
DECL: 43.3900971
MWEBV: 0.0309 +- 0.0015
FILTERS: griz
REDSHIFT_HELIO: 0.0255129 +- 0.0000408
REDSHIFT_FINAL: 0.0252263 +- 0.0000408
SEARCH_PEAKMJD: 57155.53523
HOSTGAL_LOGMASS: 10.068 +- 0.015
VPEC: 17.253
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 45
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57149.57330      g    NULL    27745.077        464.238    16.392     0.018  2.75
OBS:  57155.53523      g    NULL    38187.423        587.070    16.045     0.017  2.35
OBS:  57160.56512      g    NULL    36267.148        559.915    16.101     0.017  2.45
OBS:  57166.41345      g    NULL    27111.518        425.824    16.417     0.017  1.69
OBS:  57171.47492      g    NULL    19650.032        329.541    16.767     0.018  1.55
OBS:  57178.47791      g    NULL    11053.624        238.861    17.391     0.023  2.07
OBS:  57188.40222      g    NULL     5187.931        142.540    18.213     0.030  2.08
OBS:  57149.57402      r    NULL    24523.786        408.087    16.526     0.018  2.87
OBS:  57155.53563      r    NULL    34479.654        522.393    16.156     0.016  2.51
OBS:  57160.56553      r    NULL    33487.209        508.852    16.188     0.016  2.31
OBS:  57166.41388      r    NULL    24069.255        380.199    16.546     0.017  1.60
OBS:  57171.47533      r    NULL    20239.526        324.587    16.734     0.017  1.58
OBS:  57178.47832      r    NULL    17367.460        298.075    16.901     0.019  1.94
OBS:  57188.40263      r    NULL    11493.371        208.061    17.349     0.020  2.04
OBS:  57149.57440      i    NULL    19159.823        337.602    16.794     0.019  2.53
OBS:  57155.53600      i    NULL    21037.938        350.566    16.692     0.018  2.11
OBS:  57160.56591      i    NULL    18469.791        312.516    16.834     0.018  1.98
OBS:  57166.41425      i    NULL    12593.785        220.920    17.250     0.019  1.43
OBS:  57171.47571      i    NULL    10382.101        195.216    17.459     0.020  1.31
OBS:  57178.47869      i    NULL    12213.424        231.507    17.283     0.021  1.59
OBS:  57188.40300      i    NULL    10849.903        205.243    17.411     0.020  1.74
OBS:  57144.52396      i    NULL     7110.050        135.133    17.870     0.021  2.28
OBS:  57144.53643      i    NULL     6943.978        142.927    17.896     0.022  2.86
OBS:  57144.54896      i    NULL     7278.106        141.462    17.845     0.021  2.52
OBS:  57144.56152      i    NULL     7306.529        140.033    17.841     0.021  2.12
OBS:  57145.48590      i    NULL     9572.796        160.083    17.547     0.018  1.96
OBS:  57145.49816      i    NULL     9526.087        168.982    17.553     0.019  2.31
OBS:  57145.51041      i    NULL     9843.213        167.570    17.517     0.018  1.88
OBS:  57145.52262      i    NULL     9564.725        164.687    17.548     0.019  2.20
OBS:  57145.57577      i    NULL     9655.719        164.586    17.538     0.018  1.87
OBS:  57145.58522      i    NULL     9799.213        158.831    17.522     0.018  1.48
OBS:  57145.59467      i    NULL    10030.556        163.851    17.497     0.018  1.66
OBS:  57145.60409      i    NULL     9666.804        170.101    17.537     0.019  2.39
OBS:  57198.38595      i    NULL     5902.402        100.748    18.072     0.019  1.42
OBS:  57198.39837      i    NULL     6019.599        104.447    18.051     0.019  1.62
OBS:  57198.41082      i    NULL     6154.646        106.567    18.027     0.019  1.81
OBS:  57198.42325      i    NULL     5834.678        108.640    18.085     0.020  2.30
OBS:  57199.34817      i    NULL     5669.508        116.814    18.116     0.022  1.55
OBS:  57149.57478      z    NULL    17011.952        349.976    16.923     0.022  2.32
OBS:  57155.53638      z    NULL    20650.673        381.754    16.713     0.020  1.94
OBS:  57160.56629      z    NULL    17490.243        337.317    16.893     0.021  1.80
OBS:  57166.41463      z    NULL    13777.651        287.274    17.152     0.023  1.36
OBS:  57171.47609      z    NULL    13071.612        259.509    17.209     0.021  1.22
OBS:  57178.47907      z    NULL    13262.404        280.886    17.193     0.023  1.65
OBS:  57188.40338      z    NULL    11649.692        246.247    17.334     0.023  1.46
END:
