SURVEY: Hicken2009_LC
SNID: sn2004as
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.015 MW E(B-V)
REDSHIFT_HELIO: 0.031021 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53085.941
FILTERS: UBVRIfhjklabcde

NOBS: 51
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53080.332 b  NULL    13880.3332 357.9460
OBS: 53082.295 b  NULL    15066.0669 416.2754
OBS: 53085.358 b  NULL    15805.1961 422.1410
OBS: 53114.301 b  NULL    2278.2422 88.1270
OBS: 53134.248 b  NULL    976.3373 79.1302
OBS: 53135.177 b  NULL    965.6059 62.2526
OBS: 53140.191 b  NULL    831.7635 61.2843
OBS: 53145.262 b  NULL    592.1066 87.2528
OBS: 53176.215 b  NULL    333.5799 72.5056
OBS: 53080.330 e  NULL    12989.7251 430.6873
OBS: 53082.293 e  NULL    13765.7525 393.0260
OBS: 53085.356 e  NULL    13170.4302 448.8087
OBS: 53088.248 e  NULL    12133.8874 357.6099
OBS: 53091.431 e  NULL    11397.2470 409.3777
OBS: 53094.289 e  NULL    9212.9764 313.9506
OBS: 53112.263 e  NULL    9229.9630 348.5326
OBS: 53114.299 e  NULL    8433.3467 240.7805
OBS: 53145.260 e  NULL    2203.9409 202.9830
OBS: 53176.213 e  NULL    586.6782 143.1876
OBS: 53080.328 d  NULL    15892.7777 380.5685
OBS: 53082.291 d  NULL    16873.2916 435.1284
OBS: 53085.354 d  NULL    18932.1448 453.3491
OBS: 53088.246 d  NULL    19301.8889 462.2030
OBS: 53091.429 d  NULL    16873.2916 466.2090
OBS: 53094.287 d  NULL    14873.0422 328.7537
OBS: 53112.252 d  NULL    8945.4009 280.1163
OBS: 53114.297 d  NULL    8203.5118 203.9967
OBS: 53134.254 d  NULL    3127.5179 120.9787
