SURVEY: FOUNDATION
SNTYPE: 1
SNID: ATLAS16dpb
RA: 44.3918858
DECL: 5.9782137
MWEBV: 0.1607 +- 0.0080
FILTERS: griz
REDSHIFT_HELIO: 0.0230830 +- 0.0000330
REDSHIFT_FINAL: 0.0223914 +- 0.0000330
SEARCH_PEAKMJD: 57690.39400
HOSTGAL_LOGMASS: 11.030 +- 0.000
VPEC: 59.844
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 26
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57690.39360      g    NULL    13706.226        249.946    17.158     0.020  2.52
OBS:  57695.45317      g    NULL    10445.948        210.215    17.453     0.022  2.05
OBS:  57700.43431      g    NULL     5847.490        208.315    18.083     0.039  1.90
OBS:  57721.40162      g    NULL     1412.463        101.085    19.625     0.077  2.59
OBS:  57736.31033      g    NULL      768.703        211.941    20.286     0.298  2.05
OBS:  57744.27137      g    NULL      635.205         86.348    20.493     0.147  2.23
OBS:  57690.39400      r    NULL    15806.387        269.799    17.003     0.019  2.82
OBS:  57695.45356      r    NULL    14908.260        254.279    17.066     0.018  1.99
OBS:  57700.43469      r    NULL    11474.023        217.022    17.351     0.020  1.82
OBS:  57721.40201      r    NULL     3059.921        117.495    18.786     0.041  2.61
OBS:  57736.31072      r    NULL     1910.294        144.084    19.297     0.081  1.72
OBS:  57744.27176      r    NULL     1243.127         99.998    19.764     0.087  2.64
OBS:  57690.39436      i    NULL    13331.662        252.965    17.188     0.021  2.68
OBS:  57695.45393      i    NULL    11145.704        215.644    17.382     0.021  1.74
OBS:  57700.43506      i    NULL     8931.453        216.441    17.623     0.026  2.55
OBS:  57721.40238      i    NULL     2968.944        137.184    18.818     0.050  2.71
OBS:  57736.31108      i    NULL     1667.106        152.937    19.445     0.099  2.05
OBS:  57744.27212      i    NULL     1175.124        101.594    19.825     0.093  2.03
OBS:  57672.41902      i    NULL      -30.333         37.834       nan     1.347  1.37
OBS:  57672.43220      i    NULL      -72.879         42.560       nan     0.631  1.72
OBS:  57712.40758      i    NULL     6011.215        154.449    18.053     0.028  2.73
OBS:  57695.45430      z    NULL    11049.657        248.663    17.392     0.024  1.63
OBS:  57700.43542      z    NULL    10621.797        270.838    17.435     0.028  2.05
OBS:  57721.40275      z    NULL     3346.673        180.857    18.688     0.058  2.58
OBS:  57736.31145      z    NULL     1404.105        184.742    19.632     0.142  1.96
OBS:  57744.27248      z    NULL     1022.586        164.315    19.976     0.174  2.07
END:
