SURVEY: CFA4p1
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID:  2008bi
IAUC:  2008bi
IAUC:    UNKNOWN
RA:   128.97245  deg
DECL:    0.70634721  deg
MWEBV: 0.044100000 MW E(B-V) (SFD98)
REDSHIFT_HELIO:  0.013423 +- 0.000500000  (Hel)
REDSHIFT_CMB:  0.014374667354 +- 0.000500000  (CMB)
REDSHIFT_FINAL: 0.014374667354 +- 0.000500000  (CMB)
HOSTGAL_LOGMASS: 10.5760 +- 0.592
PRIVATE(COSMO): 1
FILTERS: BVri
SEARCH_PEAKMJD: 54554.1
NOBS: 42
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54554.1     B      md      3833.54    237.679    18.5410    0.0620000
OBS:      54555.1     B      md      3580.97    230.614    18.6150    0.0644000
OBS:      54556.1     B      md      2975.78    202.353    18.8160    0.0680000
OBS:      54565.2     B      md      1553.10    170.686    19.5220    0.109900
OBS:      54583.1     B      md      1073.49    178.522    19.9230    0.166300
OBS:      54594.1     B      md      782.708    199.277    20.2660    0.254600
OBS:      54554.1     V      md      13558.1    326.751    17.1695    0.0241000
OBS:      54555.1     V      md      12061.5    359.432    17.2965    0.0298000
OBS:      54556.1     V      md      10661.1    286.782    17.4305    0.0269000
OBS:      54565.2     V      md      4349.11    252.248    18.4040    0.0580000
OBS:      54569.1     V      md      3666.06    375.771    18.5895    0.102500
OBS:      54572.1     V      md      2777.15    266.051    18.8910    0.0958000
OBS:      54575.2     V      md      2037.98    350.533    19.2270    0.172000
OBS:      54583.1     V      md      1839.93    391.536    19.3380    0.212800
OBS:      54586.2     V      md      1466.90    188.790    19.5840    0.128700
OBS:      54594.1     V      md      1095.47    263.022    19.9010    0.240100
OBS:      54597.2     V      md      1324.34    227.390    19.6950    0.171700
OBS:      54599.1     V      md      1406.05    223.562    19.6300    0.159000
OBS:      54554.1     r      md      18433.2    466.359    16.8360    0.0253000
OBS:      54555.1     r      md      16850.0    426.305    16.9335    0.0253000
OBS:      54556.1     r      md      15951.5    413.143    16.9930    0.0259000
OBS:      54565.2     r      md      6474.41    607.947    17.9720    0.0939000
OBS:      54569.1     r      md      4436.09    547.857    18.3825    0.123500
OBS:      54572.1     r      md      4051.35    498.316    18.4810    0.123000
OBS:      54575.2     r      md      3497.84    222.113    18.6405    0.0635000
OBS:      54583.1     r      md      1982.44    295.582    19.2570    0.149100
OBS:      54586.1     r      md      1658.06    356.483    19.4510    0.215000
OBS:      54594.1     r      md      973.644    170.972    20.0290    0.175600
OBS:      54597.2     r      md      1023.29    323.258    19.9750    0.315900
OBS:      54599.1     r      md      716.474    311.379    20.3620    0.434600
OBS:      54554.1     i      md      17555.0    535.427    16.8890    0.0305000
OBS:      54555.1     i      md      16687.8    468.928    16.9440    0.0281000
OBS:      54556.1     i      md      15776.1    391.248    17.0050    0.0248000
OBS:      54565.2     i      md      7372.25    507.211    17.8310    0.0688000
OBS:      54569.1     i      md      4920.39    601.272    18.2700    0.122200
OBS:      54572.1     i      md      4321.16    254.516    18.4110    0.0589000
OBS:      54575.2     i      md      3883.29    278.432    18.5270    0.0717000
OBS:      54583.1     i      md      2265.69    309.267    19.1120    0.136500
OBS:      54586.1     i      md      1729.02    215.955    19.4055    0.124900
OBS:      54590.1     i      md      1386.12    321.163    19.6455    0.231700
OBS:      54594.1     i      md      1424.30    350.662    19.6160    0.246200
OBS:      54597.1     i      md      1501.07    249.327    19.5590    0.166100
END: 
