SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-16cs
RA: 102.6530494
DECL: 31.1123919
MWEBV: 0.1145 +- 0.0057
FILTERS: griz
REDSHIFT_HELIO: 0.0180194 +- 0.0000147
REDSHIFT_FINAL: 0.0183799 +- 0.0000147
SEARCH_PEAKMJD: 57467.24006
HOSTGAL_LOGMASS: 9.517 +- 0.002
VPEC: 162.203
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57459.23554      g    NULL    37214.832        567.712    16.073     0.017  2.25
OBS:  57467.23967      g    NULL    41744.556        650.066    15.949     0.017  1.60
OBS:  57475.26347      g    NULL    28919.307        447.921    16.347     0.017  1.85
OBS:  57483.24414      g    NULL    16594.694        286.561    16.950     0.019  1.95
OBS:  57495.24593      g    NULL     5925.251        190.618    18.068     0.035  2.29
OBS:  57502.24693      g    NULL     4677.938        147.538    18.325     0.034  2.54
OBS:  57459.23593      r    NULL    37692.556        564.637    16.059     0.016  2.14
OBS:  57467.24006      r    NULL    49035.799        717.903    15.774     0.016  1.69
OBS:  57475.26387      r    NULL    32039.758        479.020    16.236     0.016  1.82
OBS:  57483.24454      r    NULL    23530.797        367.555    16.571     0.017  1.77
OBS:  57495.24634      r    NULL    17534.831        302.743    16.890     0.019  2.11
OBS:  57502.24734      r    NULL    12236.595        232.473    17.281     0.021  2.66
OBS:  57459.23631      i    NULL    26961.986        422.195    16.423     0.017  2.06
OBS:  57467.24043      i    NULL    26856.407        417.710    16.427     0.017  1.63
OBS:  57475.26423      i    NULL    16242.429        264.507    16.973     0.018  1.53
OBS:  57483.24491      i    NULL    14363.332        246.242    17.107     0.019  1.74
OBS:  57495.24670      i    NULL    17213.704        293.118    16.910     0.018  1.78
OBS:  57502.24770      i    NULL    11524.010        242.503    17.346     0.023  2.56
OBS:  57440.32875      i    NULL      -63.625         99.047       nan     1.681  2.66
OBS:  57440.34052      i    NULL       -5.870         94.286       nan    17.347  2.55
OBS:  57440.35224      i    NULL     -106.549         81.979       nan     0.831  2.28
OBS:  57440.36390      i    NULL      210.006        102.543    21.694     0.527  2.56
OBS:  57459.23668      z    NULL    27262.168        460.222    16.411     0.018  2.05
OBS:  57467.24079      z    NULL    26132.518        462.984    16.457     0.019  1.70
OBS:  57475.26460      z    NULL    19475.883        332.687    16.776     0.019  1.39
OBS:  57483.24527      z    NULL    18520.202        327.448    16.831     0.019  1.57
OBS:  57495.24705      z    NULL    17852.010        326.012    16.871     0.020  1.64
OBS:  57502.24805      z    NULL    12386.060        298.120    17.268     0.026  2.05
END:
