SURVEY: CFA4p1
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID:  2007ev
IAUC:  2007ev
IAUC:    UNKNOWN
RA:   340.02584  deg
DECL:    24.699075  deg
MWEBV: 0.049000000 MW E(B-V) (SFD98)
REDSHIFT_HELIO:  0.043665 +- 0.000500000  (Hel)
REDSHIFT_CMB:  0.0424978162519 +- 0.000500000  (CMB)
REDSHIFT_FINAL: 0.0424978162519 +- 0.000500000  (CMB)
HOSTGAL_LOGMASS: 10.9600 +- 0.081
PRIVATE(COSMO): 1
FILTERS: BVri
SEARCH_PEAKMJD: 54284.4
NOBS: 21
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54288.4     B      md      4103.93    501.090    18.4670    0.122100
OBS:      54292.4     B      md      1973.33    153.525    19.2620    0.0778000
OBS:      54284.4     V      md      4545.69    286.833    18.3560    0.0631000
OBS:      54288.4     V      md      4738.05    251.591    18.3110    0.0531000
OBS:      54292.4     V      md      3835.30    206.723    18.5405    0.0539000
OBS:      54311.3     V      md      1792.25    255.217    19.3665    0.142400
OBS:      54313.4     V      md      1728.22    312.636    19.4060    0.180900
OBS:      54284.4     r      md      6025.60    266.332    18.0500    0.0442000
OBS:      54288.4     r      md      4975.08    380.594    18.2580    0.0765000
OBS:      54292.4     r      md      4393.39    197.263    18.3930    0.0449000
OBS:      54310.4     r      md      3486.59    492.655    18.6440    0.141300
OBS:      54311.3     r      md      2679.17    212.726    18.9300    0.0794000
OBS:      54312.5     r      md      2312.07    341.954    19.0900    0.147900
OBS:      54313.4     r      md      2285.60    434.035    19.1025    0.189900
OBS:      54284.4     i      md      3354.28    304.569    18.6860    0.0908000
OBS:      54288.4     i      md      3338.87    312.519    18.6910    0.0936000
OBS:      54292.4     i      md      2479.71    175.067    19.0140    0.0706000
OBS:      54310.4     i      md      2418.80    514.479    19.0410    0.212700
OBS:      54311.3     i      md      1998.94    246.670    19.2480    0.123400
OBS:      54312.5     i      md      1881.05    586.700    19.3140    0.311900
OBS:      54313.4     i      md      2594.18    308.189    18.9650    0.118800
END: 
