SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS15bsq
RA: 355.4673526
DECL: -8.6378763
MWEBV: 0.0296 +- 0.0015
FILTERS: griz
REDSHIFT_HELIO: 0.0343042 +- 0.0000173
REDSHIFT_FINAL: 0.0331235 +- 0.0000173
SEARCH_PEAKMJD: 57262.42308
HOSTGAL_LOGMASS: 10.961 +- 0.013
VPEC: 268.731
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57255.50251      g    NULL    17381.407        300.024    16.900     0.019  2.13
OBS:  57262.42308      g    NULL    23777.231        485.502    16.560     0.022  2.62
OBS:  57271.48347      g    NULL    18445.341        307.107    16.835     0.018  1.61
OBS:  57276.45055      g    NULL    13235.390        243.583    17.196     0.020  1.88
OBS:  57284.50527      g    NULL     6799.289        153.947    17.919     0.025  2.25
OBS:  57297.33421      g    NULL     2839.166        134.179    18.867     0.051  2.05
OBS:  57255.50291      r    NULL    15904.973        264.780    16.996     0.018  1.72
OBS:  57262.42348      r    NULL    20733.521        397.389    16.708     0.021  2.12
OBS:  57271.48388      r    NULL    17783.540        285.100    16.875     0.017  1.47
OBS:  57276.45096      r    NULL    13364.807        234.235    17.185     0.019  1.82
OBS:  57284.50568      r    NULL    11064.413        198.295    17.390     0.019  1.96
OBS:  57297.33461      r    NULL     6638.154        152.667    17.945     0.025  1.88
OBS:  57255.50327      i    NULL    11505.478        217.564    17.348     0.020  1.86
OBS:  57262.42383      i    NULL    11805.029        280.456    17.320     0.026  2.10
OBS:  57271.48423      i    NULL     9011.706        177.117    17.613     0.021  1.30
OBS:  57276.45132      i    NULL     6162.912        143.375    18.026     0.025  1.81
OBS:  57284.50603      i    NULL     7028.138        152.634    17.883     0.024  1.68
OBS:  57297.33496      i    NULL     6089.304        143.720    18.039     0.026  1.61
OBS:  57324.26874      i    NULL     1737.857         80.803    19.400     0.050  2.06
OBS:  57324.28009      i    NULL     1857.926         68.486    19.327     0.040  1.51
OBS:  57324.30276      i    NULL     1950.713         72.197    19.275     0.040  1.80
OBS:  57262.42538      z    NULL    11177.444        309.903    17.379     0.030  1.88
OBS:  57271.48459      z    NULL     8039.491        202.789    17.737     0.027  1.32
OBS:  57276.45168      z    NULL     6819.577        190.713    17.916     0.030  1.55
OBS:  57284.50638      z    NULL     7141.724        190.664    17.865     0.029  1.52
OBS:  57297.33532      z    NULL     5981.154        179.946    18.058     0.033  1.64
OBS:  57243.61990      z    NULL      112.228         84.528    22.375     0.813  1.68
OBS:  57243.62817      z    NULL      -46.895         92.994       nan     2.142  1.52
END:
