SURVEY: FOUNDATION
SNTYPE: 1
SNID: PTSS17-niq
RA: 215.0694077
DECL: 15.3416614
MWEBV: 0.0205 +- 0.0010
FILTERS: griz
REDSHIFT_HELIO: 0.0682804 +- 0.0000136
REDSHIFT_FINAL: 0.0690471 +- 0.0000136
SEARCH_PEAKMJD: 57843.46720
HOSTGAL_LOGMASS: 10.776 +- 0.001
VPEC: 41.011
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 36
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57843.46681      g    NULL     5005.776        130.626    18.251     0.028  2.31
OBS:  57847.55488      g    NULL     4667.683        134.157    18.327     0.031  2.37
OBS:  57859.44344      g    NULL     1807.170        145.048    19.358     0.087  2.49
OBS:  57869.53332      g    NULL      844.773         79.048    20.183     0.101  1.98
OBS:  57878.31394      g    NULL      634.286        144.343    20.494     0.246  2.39
OBS:  57843.46720      r    NULL     5174.507        121.498    18.215     0.025  2.10
OBS:  57847.55527      r    NULL     4751.716        116.790    18.308     0.027  2.06
OBS:  57859.44383      r    NULL     2430.245        114.898    19.036     0.051  2.03
OBS:  57869.53372      r    NULL     1654.737         79.021    19.453     0.052  1.77
OBS:  57878.31435      r    NULL     1122.562        115.893    19.874     0.112  2.11
OBS:  57891.31149      r    NULL      570.220        112.358    20.610     0.213  2.12
OBS:  57843.46757      i    NULL     3138.458        106.791    18.758     0.037  2.13
OBS:  57847.55563      i    NULL     3233.782        116.578    18.726     0.039  2.34
OBS:  57859.44421      i    NULL     1537.646        128.211    19.533     0.090  1.99
OBS:  57869.53407      i    NULL     1892.583         87.045    19.307     0.050  1.66
OBS:  57878.31470      i    NULL      939.220        122.956    20.068     0.141  2.20
OBS:  57891.31185      i    NULL      690.090        122.920    20.403     0.192  1.82
OBS:  57831.60641      i    NULL     1435.840         63.700    19.607     0.048  2.50
OBS:  57831.61629      i    NULL     1403.452         69.397    19.632     0.053  2.61
OBS:  57831.62616      i    NULL     1575.695         56.296    19.506     0.039  2.22
OBS:  57831.63603      i    NULL     1420.422         62.477    19.619     0.048  2.52
OBS:  57862.50058      i    NULL     1957.740         56.940    19.271     0.031  1.71
OBS:  57862.51324      i    NULL     1899.188         54.381    19.304     0.031  1.65
OBS:  57862.52577      i    NULL     1931.452         57.966    19.285     0.032  1.85
OBS:  57862.53826      i    NULL     1896.278         55.601    19.305     0.032  1.79
OBS:  57891.44239      i    NULL      572.440         54.131    20.606     0.102  1.97
OBS:  57891.45418      i    NULL      586.538         49.522    20.579     0.091  1.74
OBS:  57891.46603      i    NULL      687.515         47.884    20.407     0.075  1.58
OBS:  57891.47787      i    NULL      532.590         45.897    20.684     0.093  1.54
OBS:  57843.46793      z    NULL     2594.203        158.173    18.965     0.066  2.34
OBS:  57847.55600      z    NULL     1914.751        150.522    19.295     0.085  2.17
OBS:  57859.44458      z    NULL     1463.427        175.473    19.587     0.130  2.02
OBS:  57869.53442      z    NULL     1537.078        141.597    19.533     0.100  1.76
OBS:  57878.31506      z    NULL     1203.957        197.445    19.798     0.177  2.33
OBS:  57891.31221      z    NULL      450.513        187.942    20.866     0.451  1.86
OBS:  57835.64410      z    NULL     2252.705        204.342    19.118     0.098  2.21
END:
