SURVEY: CFA4p1
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID:  2007kd
IAUC:  2007kd
IAUC:    UNKNOWN
RA:   141.49184  deg
DECL:    34.633364  deg
MWEBV: 0.021700000 MW E(B-V) (SFD98)
REDSHIFT_HELIO:  0.0229 +- 0.000500000  (Hel)
REDSHIFT_CMB:  0.0237182599939 +- 0.000500000  (CMB)
REDSHIFT_FINAL: 0.0237182599939 +- 0.000500000  (CMB)
HOSTGAL_LOGMASS: 9.61000 +- 0.294
PRIVATE(COSMO): 1
FILTERS: BVri
SEARCH_PEAKMJD: 54369.5
NOBS: 22
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54369.5     B      md      15863.5    797.936    16.9990    0.0503000
OBS:      54384.5     B      md      5362.90    445.657    18.1765    0.0831000
OBS:      54385.5     B      md      5095.65    411.219    18.2320    0.0807000
OBS:      54400.5     B      md      3883.29    453.180    18.5270    0.116700
OBS:      54401.5     B      md      3525.33    459.703    18.6320    0.130400
OBS:      54402.5     B      md      3548.13    337.073    18.6250    0.0950000
OBS:      54369.5     V      md      22573.6    670.435    16.6160    0.0297000
OBS:      54384.5     V      md      11759.8    373.962    17.3240    0.0318000
OBS:      54385.5     V      md      11324.0    298.954    17.3650    0.0264000
OBS:      54400.5     V      md      5937.45    317.060    18.0660    0.0534000
OBS:      54401.5     V      md      5649.36    341.222    18.1200    0.0604000
OBS:      54402.5     V      md      5119.18    383.938    18.2270    0.0750000
OBS:      54369.5     r      md      21537.7    542.751    16.6670    0.0252000
OBS:      54384.5     r      md      15848.9    326.488    17.0000    0.0206000
OBS:      54385.5     r      md      15523.9    398.964    17.0225    0.0257000
OBS:      54400.5     r      md      7485.13    210.332    17.8145    0.0281000
OBS:      54401.5     r      md      7461.04    302.918    17.8180    0.0406000
OBS:      54369.5     i      md      10428.0    335.781    17.4545    0.0322000
OBS:      54384.5     i      md      12729.2    347.506    17.2380    0.0273000
OBS:      54385.5     i      md      11956.4    358.692    17.3060    0.0300000
OBS:      54400.5     i      md      5675.45    186.722    18.1150    0.0329000
OBS:      54401.5     i      md      5475.20    214.080    18.1540    0.0391000
END: 
