SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15tz
RA: 40.2869661
DECL: 43.6801641
MWEBV: 0.1411 +- 0.0071
FILTERS: griz
REDSHIFT_HELIO: 0.0228620 +- 0.0000300
REDSHIFT_FINAL: 0.0222150 +- 0.0000300
SEARCH_PEAKMJD: 57380.21524
HOSTGAL_LOGMASS: 10.359 +- 0.005
VPEC: 536.575
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 25
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57370.31494      g    NULL    12748.726        250.751    17.236     0.021  2.39
OBS:  57380.21483      g    NULL    15814.996        327.650    17.002     0.022  1.79
OBS:  57386.28791      g    NULL    10701.762        202.109    17.426     0.020  1.84
OBS:  57394.22187      g    NULL     5112.849        127.263    18.228     0.027  2.28
OBS:  57404.21880      g    NULL     2017.642        100.767    19.238     0.054  1.37
OBS:  57415.25725      g    NULL     1371.220         80.646    19.657     0.064  2.06
OBS:  57370.31534      r    NULL    15455.304        273.507    17.027     0.019  2.33
OBS:  57380.21524      r    NULL    20663.867        356.736    16.712     0.019  1.79
OBS:  57386.28831      r    NULL    14410.452        240.818    17.103     0.018  1.63
OBS:  57394.22227      r    NULL    11513.105        202.006    17.347     0.019  1.93
OBS:  57404.21919      r    NULL     6480.114        139.130    17.971     0.023  1.33
OBS:  57415.25765      r    NULL     3543.147        103.023    18.627     0.031  1.81
OBS:  57370.31570      i    NULL    12848.291        248.051    17.228     0.021  2.21
OBS:  57380.21560      i    NULL    14156.350        274.765    17.123     0.021  1.66
OBS:  57386.28867      i    NULL     8207.553        160.956    17.714     0.021  1.65
OBS:  57394.22264      i    NULL     8592.677        176.078    17.665     0.022  1.79
OBS:  57404.21955      i    NULL     6926.986        144.483    17.899     0.023  1.30
OBS:  57415.25800      i    NULL     3318.645        110.581    18.698     0.036  1.48
OBS:  57380.21596      z    NULL    13314.593        268.967    17.189     0.022  1.43
OBS:  57386.28903      z    NULL     9777.395        214.634    17.524     0.024  1.77
OBS:  57394.22301      z    NULL    10656.164        241.190    17.431     0.024  1.80
OBS:  57404.21991      z    NULL     7255.391        217.610    17.848     0.032  2.25
OBS:  57404.26628      z    NULL     8007.636        206.745    17.741     0.028  1.50
OBS:  57415.25836      z    NULL     3859.759        166.183    18.534     0.047  1.45
OBS:  57404.21467      z    NULL     7262.973        138.332    17.847     0.021  1.23
END:
