SURVEY: FOUNDATION
SNTYPE: 1
SNID: PTSS-16efw
RA: 263.9074994
DECL: 8.8090323
MWEBV: 0.1769 +- 0.0088
FILTERS: griz
REDSHIFT_HELIO: 0.0355730 +- 0.0000230
REDSHIFT_FINAL: 0.0354254 +- 0.0000230
SEARCH_PEAKMJD: 57514.56342
HOSTGAL_LOGMASS: 10.739 +- 0.006
VPEC: 100.417
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 45
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57514.56303      g    NULL     8398.665        180.862    17.689     0.023  2.22
OBS:  57520.52576      g    NULL     6141.114        136.713    18.029     0.024  2.31
OBS:  57525.49559      g    NULL     4131.040        149.140    18.460     0.039  1.92
OBS:  57537.43600      g    NULL     1366.671         78.729    19.661     0.062  1.43
OBS:  57542.46219      g    NULL     1075.338        100.654    19.921     0.101  2.33
OBS:  57549.47759      g    NULL      968.272         93.573    20.035     0.104  2.25
OBS:  57561.40250      g    NULL      617.409        185.729    20.524     0.325  2.06
OBS:  57964.34332      g    NULL     -112.935         65.100       nan     0.623  1.86
OBS:  57514.56342      r    NULL     9138.436        178.814    17.598     0.021  2.36
OBS:  57520.52615      r    NULL     6364.752        136.021    17.991     0.023  2.28
OBS:  57525.49597      r    NULL     5529.431        131.908    18.143     0.026  1.87
OBS:  57537.43639      r    NULL     3600.634        101.541    18.609     0.030  1.45
OBS:  57542.46258      r    NULL     3050.138        102.636    18.789     0.036  1.94
OBS:  57549.47798      r    NULL     2266.903         95.406    19.111     0.045  2.21
OBS:  57561.40289      r    NULL     1338.873        151.977    19.683     0.123  1.93
OBS:  57920.32596      r    NULL     -132.980         75.206       nan     0.611  2.07
OBS:  57964.34371      r    NULL       92.112         64.767    22.589     0.759  1.86
OBS:  57563.47242      r    NULL     1331.586         94.718    19.689     0.077  3.78
OBS:  57563.56208      r    NULL     1110.216         70.845    19.886     0.069  2.18
OBS:  57563.57489      r    NULL      860.833         70.509    20.163     0.088  2.27
OBS:  57563.58773      r    NULL     1190.321        114.361    19.811     0.104  3.09
OBS:  57514.56379      i    NULL     5704.615        232.492    18.109     0.044  2.23
OBS:  57514.56504      i    NULL     6070.788        143.938    18.042     0.026  1.73
OBS:  57520.52652      i    NULL     3432.348        109.901    18.661     0.035  1.73
OBS:  57525.49634      i    NULL     3288.439        121.512    18.708     0.040  1.66
OBS:  57537.43674      i    NULL     3350.753        105.144    18.687     0.034  1.38
OBS:  57542.46294      i    NULL     3052.145        111.073    18.788     0.039  1.75
OBS:  57549.47834      i    NULL     2140.217        118.199    19.174     0.060  2.24
OBS:  57561.40326      i    NULL     1335.193        128.254    19.686     0.104  1.71
OBS:  57920.32631      i    NULL       61.676         78.689    23.025     1.378  1.76
OBS:  57964.34407      i    NULL      -92.934         73.195       nan     0.851  1.58
OBS:  57499.51792      i    NULL     3959.985         86.221    18.506     0.024  1.42
OBS:  57499.53077      i    NULL     3728.046         83.455    18.571     0.024  1.41
OBS:  57499.55700      i    NULL     3846.434         81.285    18.537     0.023  1.46
OBS:  57499.54390      i    NULL     3932.447         82.319    18.513     0.023  1.36
OBS:  57514.56416      z    NULL     6374.009        205.175    17.989     0.035  2.11
OBS:  57520.52689      z    NULL     4268.324        179.208    18.424     0.045  1.90
OBS:  57525.49671      z    NULL     4133.959        159.300    18.459     0.042  1.52
OBS:  57537.43711      z    NULL     3541.990        140.670    18.627     0.043  1.28
OBS:  57542.46331      z    NULL     3508.365        162.360    18.637     0.050  1.74
OBS:  57549.47871      z    NULL     1551.804        165.433    19.523     0.115  1.85
OBS:  57561.40362      z    NULL      857.327        151.867    20.167     0.191  1.53
OBS:  57920.32666      z    NULL      -97.378        125.472       nan     1.392  1.68
OBS:  57964.34444      z    NULL       47.437        123.370    23.310     2.809  1.70
OBS:  57538.61192      z    NULL     4110.069        130.136    18.465     0.034  1.66
END:
