SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-16fo
RA: 203.1491663
DECL: -5.2725126
MWEBV: 0.0268 +- 0.0013
FILTERS: griz
REDSHIFT_HELIO: 0.0289000 +- 0.0002130
REDSHIFT_FINAL: 0.0299134 +- 0.0002130
SEARCH_PEAKMJD: 57540.31499
HOSTGAL_LOGMASS: 10.172 +- 0.001
VPEC: 310.029
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57540.31499      g    NULL    35405.188        551.230    16.127     0.017  2.51
OBS:  57545.30178      g    NULL    31423.919        493.449    16.257     0.017  1.95
OBS:  57550.26728      g    NULL    25207.801        415.866    16.496     0.018  2.37
OBS:  57558.26901      g    NULL    13067.572        300.044    17.210     0.025  2.18
OBS:  57565.33694      g    NULL     7281.361        211.397    17.844     0.031  2.33
OBS:  57578.26732      g    NULL     3668.662        195.575    18.589     0.058  2.95
OBS:  57586.26958      g    NULL     3185.725        223.249    18.742     0.076  2.70
OBS:  57540.31539      r    NULL    29949.156        471.648    16.309     0.017  2.17
OBS:  57545.30217      r    NULL    29140.020        452.681    16.339     0.017  1.70
OBS:  57550.26768      r    NULL    21850.354        363.643    16.651     0.018  2.07
OBS:  57558.26941      r    NULL    14848.291        294.862    17.071     0.022  1.99
OBS:  57565.33735      r    NULL    15032.419        303.207    17.057     0.022  2.30
OBS:  57578.26773      r    NULL     8230.063        226.680    17.711     0.030  2.75
OBS:  57586.26998      r    NULL     5369.097        240.670    18.175     0.048  2.99
OBS:  57540.31574      i    NULL    16022.261        305.003    16.988     0.021  1.86
OBS:  57545.30254      i    NULL    14913.197        281.338    17.066     0.020  1.63
OBS:  57550.26804      i    NULL    10944.311        250.616    17.402     0.025  1.93
OBS:  57558.26976      i    NULL     9468.932        241.432    17.559     0.028  1.94
OBS:  57565.33770      i    NULL    10294.142        275.557    17.469     0.029  2.03
OBS:  57578.26809      i    NULL     6967.534        242.522    17.892     0.038  2.53
OBS:  57586.27034      i    NULL     5324.298        216.106    18.184     0.044  2.19
OBS:  57540.31611      z    NULL    16616.580        367.813    16.949     0.024  1.96
OBS:  57545.30291      z    NULL    14500.794        321.434    17.097     0.024  1.54
OBS:  57550.26840      z    NULL    12745.271        320.673    17.237     0.027  1.85
OBS:  57558.27013      z    NULL    10411.575        296.486    17.456     0.031  1.79
OBS:  57565.33805      z    NULL    11903.092        385.907    17.311     0.035  2.03
OBS:  57578.26844      z    NULL     7211.371        307.057    17.855     0.046  2.31
OBS:  57586.27070      z    NULL     5107.534        265.984    18.229     0.056  1.93
END:
