SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS16ccn
RA: 273.1222802
DECL: 31.2798859
MWEBV: 0.0578 +- 0.0029
FILTERS: griz
REDSHIFT_HELIO: 0.0243100 +- 0.0001600
REDSHIFT_FINAL: 0.0239585 +- 0.0001600
SEARCH_PEAKMJD: 57505.55410
HOSTGAL_LOGMASS: 8.169 +- 0.013
VPEC: 177.845
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 37
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57513.55478      g    NULL    35253.763        538.931    16.132     0.017  2.00
OBS:  57520.52801      g    NULL    24382.865        390.962    16.532     0.017  1.82
OBS:  57525.49783      g    NULL    17021.256        295.749    16.923     0.019  1.58
OBS:  57530.58521      g    NULL    11140.219        355.738    17.383     0.035  3.97
OBS:  57539.57439      g    NULL     5480.675        137.554    18.153     0.027  2.13
OBS:  57546.56039      g    NULL     3938.202        109.260    18.512     0.030  1.72
OBS:  57558.45221      g    NULL     2552.062        166.941    18.983     0.071  1.82
OBS:  57513.55517      r    NULL    30901.115        465.993    16.275     0.016  1.92
OBS:  57520.52841      r    NULL    23966.477        372.275    16.551     0.017  1.69
OBS:  57525.49822      r    NULL    19127.333        307.557    16.796     0.017  1.57
OBS:  57530.58560      r    NULL    18272.699        363.762    16.845     0.022  3.69
OBS:  57539.57478      r    NULL    12950.685        217.837    17.219     0.018  1.79
OBS:  57546.56080      r    NULL     9355.190        171.748    17.572     0.020  1.89
OBS:  57558.45260      r    NULL     5364.763        151.619    18.176     0.031  1.81
OBS:  57505.53184      r    NULL    32176.734        457.832    16.231     0.015  1.46
OBS:  57505.54300      r    NULL    32155.199        458.944    16.232     0.015  1.55
OBS:  57505.55410      r    NULL    32450.955        461.222    16.222     0.015  1.43
OBS:  57505.56529      r    NULL    32059.438        457.957    16.235     0.016  1.66
OBS:  57535.57388      r    NULL    15296.906        225.021    17.038     0.016  1.61
OBS:  57535.58174      r    NULL    15512.525        227.889    17.023     0.016  1.74
OBS:  57535.58958      r    NULL    15085.077        222.454    17.054     0.016  1.58
OBS:  57535.59746      r    NULL    15527.914        228.549    17.022     0.016  1.72
OBS:  57513.55554      i    NULL    18921.725        308.177    16.808     0.018  1.73
OBS:  57520.52878      i    NULL    11704.442        216.227    17.329     0.020  1.73
OBS:  57525.49858      i    NULL    10534.368        197.277    17.443     0.020  1.58
OBS:  57530.58597      i    NULL    11662.849        283.777    17.333     0.026  3.27
OBS:  57539.57515      i    NULL    11727.112        207.198    17.327     0.019  1.67
OBS:  57546.56116      i    NULL     8260.980        158.360    17.707     0.021  1.41
OBS:  57558.45297      i    NULL     4443.553        131.973    18.381     0.032  1.70
OBS:  57555.39293      i    NULL     5102.643        138.510    18.231     0.029  2.31
OBS:  57513.55591      z    NULL    17889.774        319.771    16.868     0.019  1.60
OBS:  57520.52915      z    NULL    13220.994        272.938    17.197     0.022  1.65
OBS:  57525.49895      z    NULL    12749.678        258.811    17.236     0.022  1.65
OBS:  57530.58633      z    NULL    13577.269        319.093    17.168     0.025  2.65
OBS:  57539.57551      z    NULL    12076.929        240.497    17.295     0.022  1.65
OBS:  57546.56152      z    NULL     8641.345        196.518    17.659     0.025  1.30
OBS:  57558.45334      z    NULL     4139.215        161.764    18.458     0.042  1.60
END:
