SURVEY: CFA4p2
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID:  2010dw
IAUC:  2010dw
IAUC:    UNKNOWN
RA:   230.66783  deg
DECL:    -4.0787611  deg
MWEBV: 0.093300000 MW E(B-V) (SFD98)
REDSHIFT_HELIO:  0.03812 +- 0.000500000  (Hel)
REDSHIFT_CMB:  0.0386930762655 +- 0.000500000  (CMB)
REDSHIFT_FINAL: 0.0386930762655 +- 0.000500000  (CMB)
HOSTGAL_LOGMASS: 10.6220 +- 4.047
PRIVATE(COSMO): 1
FILTERS: BVri
SEARCH_PEAKMJD: 55361.2
NOBS: 31
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      55355.3     B      md      9908.32    208.075    17.5100    0.0210000
OBS:      55356.2     B      md      10346.7    201.760    17.4630    0.0195000
OBS:      55359.2     B      md      10027.7    207.573    17.4970    0.0207000
OBS:      55361.2     B      md      9187.56    171.807    17.5920    0.0187000
OBS:      55363.2     B      md      8685.61    263.174    17.6530    0.0303000
OBS:      55376.2     B      md      2977.14    66.0926    18.8155    0.0222000
OBS:      55385.2     B      md      1207.26    22.8172    19.7955    0.0189000
OBS:      55355.3     V      md      11189.2    220.428    17.3780    0.0197000
OBS:      55356.2     V      md      11481.5    288.187    17.3500    0.0251000
OBS:      55359.2     V      md      12094.8    449.928    17.2935    0.0372000
OBS:      55361.2     V      md      11808.7    302.301    17.3195    0.0256000
OBS:      55363.2     V      md      11112.2    232.245    17.3855    0.0209000
OBS:      55376.2     V      md      6056.20    133.842    18.0445    0.0221000
OBS:      55385.2     V      md      4064.43    83.7273    18.4775    0.0206000
OBS:      55393.2     V      md      2238.72    51.0429    19.1250    0.0228000
OBS:      55355.3     r      md      11365.8    296.647    17.3610    0.0261000
OBS:      55356.2     r      md      11619.8    330.004    17.3370    0.0284000
OBS:      55359.2     r      md      12089.3    353.007    17.2940    0.0292000
OBS:      55361.2     r      md      12234.9    597.063    17.2810    0.0488000
OBS:      55363.2     r      md      11803.2    2272.12    17.3200    0.192500
OBS:      55376.2     r      md      6899.22    141.434    17.9030    0.0205000
OBS:      55385.2     r      md      5691.15    121.791    18.1120    0.0214000
OBS:      55393.2     r      md      4053.22    84.3070    18.4805    0.0208000
OBS:      55355.3     i      md      8287.05    168.227    17.7040    0.0203000
OBS:      55356.2     i      md      8279.42    154.825    17.7050    0.0187000
OBS:      55359.2     i      md      7783.95    160.349    17.7720    0.0206000
OBS:      55361.2     i      md      7568.33    259.594    17.8025    0.0343000
OBS:      55363.2     i      md      7154.84    166.708    17.8635    0.0233000
OBS:      55376.2     i      md      4828.36    99.4642    18.2905    0.0206000
OBS:      55385.2     i      md      5147.54    107.069    18.2210    0.0208000
OBS:      55393.2     i      md      4187.94    141.552    18.4450    0.0338000
END: 
