SURVEY: CFA4p1
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID:  2007hu
IAUC:  2007hu
IAUC:    UNKNOWN
RA:   254.12453  deg
DECL:    27.977708  deg
MWEBV: 0.045800000 MW E(B-V) (SFD98)
REDSHIFT_HELIO:  0.03518 +- 0.000500000  (Hel)
REDSHIFT_CMB:  0.0351813993156 +- 0.000500000  (CMB)
REDSHIFT_FINAL: 0.0351813993156 +- 0.000500000  (CMB)
HOSTGAL_LOGMASS: 11.6890 +- 0.026
PRIVATE(COSMO): 1
FILTERS: BVri
SEARCH_PEAKMJD: 54358.2
NOBS: 26
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54358.2     B      md      5238.42    396.024    18.2020    0.0756000
OBS:      54367.1     B      md      2438.93    304.379    19.0320    0.124800
OBS:      54378.1     B      md      895.364    198.771    20.1200    0.222000
OBS:      54379.1     B      md      763.836    164.607    20.2925    0.215500
OBS:      54404.1     B      md      487.080    143.445    20.7810    0.294500
OBS:      54405.1     B      md      353.183    104.154    21.1300    0.294900
OBS:      54358.2     V      md      8306.15    384.575    17.7015    0.0463000
OBS:      54367.1     V      md      5704.26    630.321    18.1095    0.110500
OBS:      54378.1     V      md      2076.83    229.489    19.2065    0.110500
OBS:      54379.1     V      md      2098.94    232.353    19.1950    0.110700
OBS:      54404.1     V      md      911.172    214.581    20.1010    0.235500
OBS:      54405.1     V      md      919.603    223.555    20.0910    0.243100
OBS:      54358.2     r      md      9510.42    321.452    17.5545    0.0338000
OBS:      54367.1     r      md      6426.88    601.556    17.9800    0.0936000
OBS:      54369.1     r      md      5243.24    591.962    18.2010    0.112900
OBS:      54378.1     r      md      3674.52    302.780    18.5870    0.0824000
OBS:      54379.1     r      md      4244.24    286.911    18.4305    0.0676000
OBS:      54404.1     r      md      929.822    226.598    20.0790    0.243700
OBS:      54405.1     r      md      1090.94    290.408    19.9055    0.266200
OBS:      54358.2     i      md      6851.73    420.011    17.9105    0.0613000
OBS:      54367.1     i      md      3554.68    338.050    18.6230    0.0951000
OBS:      54369.1     i      md      2685.35    379.976    18.9275    0.141500
OBS:      54378.1     i      md      4568.78    592.570    18.3505    0.129700
OBS:      54379.1     i      md      4311.22    391.890    18.4135    0.0909000
OBS:      54404.1     i      md      971.404    222.063    20.0315    0.228600
OBS:      54405.1     i      md      1074.48    308.484    19.9220    0.287100
END: 
