SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2016gfr
RA: 274.8983084
DECL: 23.7861893
MWEBV: 0.1148 +- 0.0057
FILTERS: griz
REDSHIFT_HELIO: 0.0166930 +- 0.0001200
REDSHIFT_FINAL: 0.0163061 +- 0.0001200
SEARCH_PEAKMJD: 57658.22889
HOSTGAL_LOGMASS: 9.784 +- 0.006
VPEC: 181.295
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 24
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57653.24025      g    NULL    71926.682       1050.861    15.358     0.016  2.44
OBS:  57658.22850      g    NULL    80271.178       1160.278    15.239     0.016  2.47
OBS:  57667.25528      g    NULL    58062.651        857.103    15.590     0.016  2.74
OBS:  57676.22542      g    NULL    29933.714        501.990    16.310     0.018  2.28
OBS:  57688.21394      g    NULL    11406.297        224.855    17.357     0.021  2.07
OBS:  57699.20594      g    NULL     7607.188        183.936    17.797     0.026  1.55
OBS:  57653.24065      r    NULL    71626.172       1028.047    15.362     0.016  1.70
OBS:  57658.22889      r    NULL    83813.267       1200.915    15.192     0.016  2.38
OBS:  57667.25568      r    NULL    57597.103        840.590    15.599     0.016  2.30
OBS:  57676.22581      r    NULL    41843.498        630.030    15.946     0.016  1.92
OBS:  57688.21435      r    NULL    31380.189        481.643    16.258     0.017  1.86
OBS:  57699.20634      r    NULL    17428.773        302.448    16.897     0.019  1.29
OBS:  57653.24102      i    NULL    47091.013        695.627    15.818     0.016  1.56
OBS:  57658.22926      i    NULL    44853.188        669.397    15.871     0.016  2.06
OBS:  57667.25604      i    NULL    31282.378        491.662    16.262     0.017  2.34
OBS:  57676.22618      i    NULL    25953.801        419.689    16.464     0.018  1.89
OBS:  57688.21470      i    NULL    29220.714        459.188    16.336     0.017  1.87
OBS:  57699.20669      i    NULL    15789.673        277.317    17.004     0.019  1.24
OBS:  57653.24139      z    NULL    46209.003        705.238    15.838     0.017  1.64
OBS:  57658.22963      z    NULL    47574.767        734.534    15.807     0.017  1.92
OBS:  57667.25639      z    NULL    33122.434        556.926    16.200     0.018  2.22
OBS:  57676.22653      z    NULL    33252.401        558.067    16.195     0.018  2.05
OBS:  57688.21506      z    NULL    31183.442        521.844    16.265     0.018  1.71
OBS:  57699.20704      z    NULL    16698.044        316.523    16.943     0.021  1.17
END:
