SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS15cwx
RA: 78.6991910
DECL: 7.0503887
MWEBV: 0.1487 +- 0.0074
FILTERS: griz
REDSHIFT_HELIO: 0.0300646 +- 0.0001089
REDSHIFT_FINAL: 0.0300608 +- 0.0001089
SEARCH_PEAKMJD: 57349.47515
HOSTGAL_LOGMASS: 10.240 +- 0.001
VPEC: 270.728
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 44
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57349.47476      g    NULL    17095.107        337.007    16.918     0.021  2.26
OBS:  57356.44961      g    NULL    12636.903        273.391    17.246     0.023  2.49
OBS:  57359.40043      g    NULL     9670.327        191.090    17.536     0.021  1.93
OBS:  57364.44574      g    NULL     5867.529        143.012    18.079     0.026  1.52
OBS:  57387.36146      g    NULL     1190.980        117.156    19.810     0.106  1.76
OBS:  57398.34706      g    NULL     1139.001        165.239    19.859     0.157  2.81
OBS:  57349.47515      r    NULL    17337.076        304.384    16.903     0.019  2.03
OBS:  57356.45000      r    NULL    13479.935        252.650    17.176     0.020  2.06
OBS:  57359.40082      r    NULL    11556.396        202.217    17.343     0.019  1.70
OBS:  57364.44613      r    NULL     9798.666        180.962    17.522     0.020  1.48
OBS:  57387.36186      r    NULL     3130.150        111.076    18.761     0.038  1.51
OBS:  57398.34745      r    NULL     2076.244        119.194    19.207     0.062  2.18
OBS:  57359.45688      r    NULL    11388.853        174.255    17.359     0.017  1.82
OBS:  57359.46948      r    NULL    11638.041        178.020    17.335     0.017  1.89
OBS:  57359.48219      r    NULL    11704.238        178.930    17.329     0.017  1.92
OBS:  57359.49500      r    NULL    11674.651        178.337    17.332     0.017  1.80
OBS:  57387.43775      r    NULL     3003.179         65.617    18.806     0.024  1.61
OBS:  57387.44819      r    NULL     2912.251         61.619    18.839     0.023  1.42
OBS:  57387.45857      r    NULL     3002.188         63.588    18.806     0.023  1.42
OBS:  57387.46936      r    NULL     3169.941         68.122    18.747     0.023  1.59
OBS:  57388.39687      r    NULL     2898.895         67.622    18.844     0.025  2.04
OBS:  57388.40764      r    NULL     2955.136         62.837    18.824     0.023  1.47
OBS:  57388.41818      r    NULL     2816.682         74.347    18.876     0.029  1.61
OBS:  57388.42887      r    NULL     2810.062         63.190    18.878     0.024  1.70
OBS:  57349.47552      i    NULL    11265.315        235.372    17.371     0.023  1.94
OBS:  57356.45037      i    NULL     7203.682        180.440    17.856     0.027  2.03
OBS:  57359.40119      i    NULL     6464.978        139.659    17.974     0.023  1.68
OBS:  57364.44650      i    NULL     7267.996        155.086    17.846     0.023  1.64
OBS:  57387.36223      i    NULL     2962.723        114.040    18.821     0.042  1.55
OBS:  57398.34781      i    NULL     1384.938        124.991    19.646     0.097  2.04
OBS:  57322.48615      i    NULL        2.136        105.855    26.676    53.522  1.87
OBS:  57322.49906      i    NULL      -87.771         96.015       nan     1.181  1.95
OBS:  57322.51195      i    NULL       82.241         96.971    22.712     1.273  2.11
OBS:  57322.52483      i    NULL     -197.242         92.274       nan     0.505  2.10
OBS:  57412.34977      i    NULL     1004.385         69.606    19.995     0.075  2.01
OBS:  57412.36039      i    NULL     1094.774         76.496    19.902     0.075  2.18
OBS:  57412.37099      i    NULL     1078.384         73.874    19.918     0.074  2.00
OBS:  57412.38165      i    NULL     1147.456        101.529    19.851     0.096  2.97
OBS:  57349.47589      z    NULL    10698.438        269.561    17.427     0.027  1.82
OBS:  57356.45075      z    NULL     7804.391        219.800    17.769     0.030  1.82
OBS:  57359.40155      z    NULL     7919.520        191.679    17.753     0.026  1.72
OBS:  57364.44687      z    NULL     8140.641        195.635    17.723     0.026  1.39
OBS:  57387.36259      z    NULL     2518.949        145.316    18.997     0.062  1.38
OBS:  57398.34818      z    NULL     1133.127        176.125    19.864     0.168  1.98
END:
