SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2016gmb
RA: 8.6860783
DECL: -6.1588912
MWEBV: 0.0293 +- 0.0015
FILTERS: griz
REDSHIFT_HELIO: 0.0582686 +- 0.0000801
REDSHIFT_FINAL: 0.0571429 +- 0.0000801
SEARCH_PEAKMJD: 57661.46330
HOSTGAL_LOGMASS: 9.640 +- 0.003
VPEC: 433.371
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 26
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57661.46330      g    NULL     8616.081        203.105    17.662     0.026  2.80
OBS:  57668.43060      g    NULL     5762.120        146.763    18.099     0.028  1.92
OBS:  57678.41688      g    NULL     2294.222        231.495    19.098     0.109  2.14
OBS:  57686.39374      g    NULL     1552.531         98.095    19.522     0.068  2.36
OBS:  57698.31958      g    NULL      835.511        143.887    20.195     0.186  2.19
OBS:  57970.56317      g    NULL     -122.014        120.034       nan     1.062  2.79
OBS:  57661.46370      r    NULL     7872.781        175.070    17.760     0.024  2.46
OBS:  57668.43100      r    NULL     6161.428        138.264    18.026     0.024  1.82
OBS:  57678.41727      r    NULL     4254.577        214.937    18.428     0.055  1.96
OBS:  57686.39414      r    NULL     3603.470        105.532    18.608     0.032  1.97
OBS:  57698.31997      r    NULL     2032.988        114.985    19.230     0.061  2.03
OBS:  57713.20859      r    NULL     1105.850        143.123    19.891     0.140  2.06
OBS:  57970.56357      r    NULL       42.118         83.268    23.439     2.135  2.08
OBS:  57661.46406      i    NULL     4462.522        136.945    18.376     0.033  2.00
OBS:  57668.43135      i    NULL     3008.862        110.498    18.804     0.040  1.64
OBS:  57678.41763      i    NULL     2419.127        209.449    19.041     0.094  1.63
OBS:  57686.39449      i    NULL     2800.637        101.097    18.882     0.039  1.86
OBS:  57698.32033      i    NULL     1715.458        134.915    19.414     0.085  2.17
OBS:  57713.20894      i    NULL     1260.513        143.885    19.749     0.123  1.72
OBS:  57970.56393      i    NULL       15.684         90.583    24.511     6.238  2.10
OBS:  57661.46442      z    NULL     3423.568        195.476    18.664     0.062  2.14
OBS:  57668.43171      z    NULL     1876.264        140.502    19.317     0.081  1.48
OBS:  57678.41799      z    NULL     2156.211        289.641    19.166     0.145  1.76
OBS:  57686.39485      z    NULL     2111.713        126.987    19.188     0.065  1.66
OBS:  57698.32069      z    NULL     1552.391        171.499    19.522     0.119  1.86
OBS:  57713.20929      z    NULL      349.668        176.217    21.141     0.544  1.80
END:
