SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS15mt
RA: 148.6840749
DECL: 23.1981134
MWEBV: 0.0212 +- 0.0011
FILTERS: griz
REDSHIFT_HELIO: 0.0708500 +- 0.0000880
REDSHIFT_FINAL: 0.0718554 +- 0.0000880
SEARCH_PEAKMJD: 57105.23788
HOSTGAL_LOGMASS: 8.856 +- 0.047
VPEC: -127.187
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 24
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57100.39627      g    NULL     5269.504         83.592    18.196     0.017  2.13
OBS:  57105.23788      g    NULL     5699.977         92.295    18.110     0.018  2.36
OBS:  57119.34271      g    NULL     3460.778        102.018    18.652     0.032  2.26
OBS:  57127.37376      g    NULL     1815.136        119.493    19.353     0.071  3.15
OBS:  57133.34536      g    NULL     1203.733        106.983    19.799     0.096  3.01
OBS:  57145.29506      g    NULL      577.082        142.302    20.597     0.266  1.78
OBS:  57100.39765      r    NULL     4484.284         72.415    18.371     0.018  1.86
OBS:  57105.23927      r    NULL     5255.597         84.593    18.198     0.017  2.02
OBS:  57119.34340      r    NULL     3385.928         91.402    18.676     0.029  2.14
OBS:  57127.37421      r    NULL     2834.444        116.099    18.869     0.044  2.82
OBS:  57133.34583      r    NULL     2345.353        119.453    19.074     0.055  3.07
OBS:  57145.29552      r    NULL     1184.415         96.367    19.816     0.088  1.56
OBS:  57100.39902      i    NULL     3052.445         57.779    18.788     0.021  1.92
OBS:  57105.24062      i    NULL     3046.909         60.142    18.790     0.021  1.92
OBS:  57119.34407      i    NULL     1696.694         71.884    19.426     0.046  2.01
OBS:  57127.37466      i    NULL     1517.609        124.601    19.547     0.089  2.70
OBS:  57133.34626      i    NULL     1830.860        116.865    19.343     0.069  2.63
OBS:  57145.29596      i    NULL     1147.189        100.090    19.851     0.094  1.63
OBS:  57100.40039      z    NULL     2514.050         65.001    18.999     0.028  1.74
OBS:  57105.24198      z    NULL     2842.365         72.805    18.866     0.028  1.79
OBS:  57119.34474      z    NULL     1341.775         91.437    19.681     0.074  1.73
OBS:  57127.37510      z    NULL     1077.410        181.948    19.919     0.182  2.47
OBS:  57133.34670      z    NULL     1333.375        161.961    19.688     0.131  2.33
OBS:  57145.29640      z    NULL     1311.564        129.688    19.706     0.107  1.55
END:
