SURVEY: CFA4p1
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID:  2009ds
IAUC:  2009ds
IAUC:    UNKNOWN
RA:   177.26677  deg
DECL:    -8.2709778  deg
MWEBV: 0.038900000 MW E(B-V) (SFD98)
REDSHIFT_HELIO:  0.019217 +- 0.000500000  (Hel)
REDSHIFT_CMB:  0.0204375431004 +- 0.000500000  (CMB)
REDSHIFT_FINAL: 0.0204375431004 +- 0.000500000  (CMB)
HOSTGAL_LOGMASS: 11.0880 +- 2.92
PRIVATE(COSMO): 1
FILTERS: BVri
SEARCH_PEAKMJD: 54961.2
NOBS: 45
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54963.2     B      md      51286.1    2471.99    15.7250    0.0482000
OBS:      54964.2     B      md      49750.8    1915.40    15.7580    0.0385000
OBS:      54967.2     B      md      44340.4    3183.64    15.8830    0.0718000
OBS:      54970.2     B      md      38124.1    2866.93    16.0470    0.0752000
OBS:      54975.2     B      md      25870.2    1151.22    16.4680    0.0445000
OBS:      54977.2     B      md      21468.4    1002.58    16.6705    0.0467000
OBS:      54994.2     B      md      5207.15    417.613    18.2085    0.0802000
OBS:      55003.2     B      md      3654.26    292.341    18.5930    0.0800000
OBS:      54954.2     V      md      41687.0    3034.81    15.9500    0.0728000
OBS:      54961.2     V      md      57358.8    5529.38    15.6035    0.0964000
OBS:      54963.2     V      md      57121.6    4049.92    15.6080    0.0709000
OBS:      54964.2     V      md      56260.0    3369.97    15.6245    0.0599000
OBS:      54967.2     V      md      50629.1    3579.48    15.7390    0.0707000
OBS:      54970.2     V      md      45624.7    4699.35    15.8520    0.103000
OBS:      54975.2     V      md      34355.8    1109.69    16.1600    0.0323000
OBS:      54977.2     V      md      31260.8    809.654    16.2625    0.0259000
OBS:      54988.1     V      md      18975.8    512.346    16.8045    0.0270000
OBS:      54994.2     V      md      13658.4    311.411    17.1615    0.0228000
OBS:      54998.1     V      md      9776.88    341.213    17.5245    0.0349000
OBS:      55003.2     V      md      8487.90    200.314    17.6780    0.0236000
OBS:      54954.1     r      md      40253.2    1549.75    15.9880    0.0385000
OBS:      54959.1     r      md      52239.6    1734.35    15.7050    0.0332000
OBS:      54961.2     r      md      54903.5    1509.85    15.6510    0.0275000
OBS:      54963.2     r      md      54777.3    1210.58    15.6535    0.0221000
OBS:      54964.2     r      md      54100.4    2310.08    15.6670    0.0427000
OBS:      54967.2     r      md      49636.4    1831.58    15.7605    0.0369000
OBS:      54970.2     r      md      42993.2    1057.63    15.9165    0.0246000
OBS:      54975.2     r      md      30535.1    1908.45    16.2880    0.0625000
OBS:      54977.2     r      md      27567.7    1130.27    16.3990    0.0410000
OBS:      54988.1     r      md      23046.2    1154.62    16.5935    0.0501000
OBS:      54994.2     r      md      18862.5    920.492    16.8110    0.0488000
OBS:      54998.1     r      md      13905.9    1339.14    17.1420    0.0963000
OBS:      55003.2     r      md      11272.0    405.791    17.3700    0.0360000
OBS:      54959.1     i      md      32359.3    1084.04    16.2250    0.0335000
OBS:      54961.2     i      md      30297.1    1114.93    16.2965    0.0368000
OBS:      54963.2     i      md      29053.6    1147.62    16.3420    0.0395000
OBS:      54964.2     i      md      28054.4    1321.36    16.3800    0.0471000
OBS:      54967.2     i      md      25118.9    1057.50    16.5000    0.0421000
OBS:      54970.2     i      md      21066.9    1268.23    16.6910    0.0602000
OBS:      54975.2     i      md      13867.5    833.440    17.1450    0.0601000
OBS:      54977.2     i      md      12496.8    686.077    17.2580    0.0549000
OBS:      54988.1     i      md      15010.7    1245.89    17.0590    0.0830000
OBS:      54994.2     i      md      15725.4    726.511    17.0085    0.0462000
OBS:      54998.1     i      md      11770.6    561.460    17.3230    0.0477000
OBS:      55003.2     i      md      9061.49    429.515    17.6070    0.0474000
END: 
