SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS15bdr
RA: 253.7059074
DECL: 36.7251961
MWEBV: 0.0138 +- 0.0007
FILTERS: griz
REDSHIFT_HELIO: 0.0709596 +- 0.0000140
REDSHIFT_FINAL: 0.0709436 +- 0.0000140
SEARCH_PEAKMJD: 57215.27665
HOSTGAL_LOGMASS: 11.079 +- 0.001
VPEC: 99.934
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 41
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57215.27665      g    NULL     3906.460        110.772    18.521     0.031  1.55
OBS:  57222.26493      g    NULL     2929.692         92.612    18.833     0.034  1.45
OBS:  57228.26683      g    NULL     1542.029        160.146    19.530     0.112  2.43
OBS:  57228.26854      g    NULL     1738.489        116.155    19.400     0.072  2.31
OBS:  57234.26634      g    NULL      414.659        257.112    20.956     0.670  2.98
OBS:  57240.38185      g    NULL      549.662         81.131    20.650     0.159  2.03
OBS:  57250.32992      g    NULL    -2181.111       2134.579       nan     1.057  3.06
OBS:  57251.25572      g    NULL      117.143         77.089    22.328     0.711  1.86
OBS:  57215.27704      r    NULL     3720.405        101.724    18.574     0.030  1.63
OBS:  57222.26533      r    NULL     3414.053         89.202    18.667     0.028  1.34
OBS:  57228.26727      r    NULL     2361.719        104.164    19.067     0.048  1.89
OBS:  57234.26673      r    NULL     1817.347        204.079    19.351     0.121  3.00
OBS:  57240.38231      r    NULL     1118.605         75.041    19.878     0.072  1.99
OBS:  57251.25611      r    NULL      581.171         64.500    20.589     0.120  1.84
OBS:  57207.39012      r    NULL     1747.037         67.133    19.394     0.042  1.98
OBS:  57207.40238      r    NULL     1661.974         59.558    19.448     0.039  1.98
OBS:  57207.41473      r    NULL     1855.707         61.030    19.329     0.036  1.82
OBS:  57207.42782      r    NULL     1763.059         63.653    19.384     0.039  1.92
OBS:  57215.27740      i    NULL     2573.404         90.137    18.974     0.038  1.45
OBS:  57222.26568      i    NULL     2254.827         80.504    19.117     0.039  1.34
OBS:  57228.26760      i    NULL     1175.683         94.221    19.824     0.087  1.58
OBS:  57234.26710      i    NULL     1399.676        156.256    19.635     0.121  2.43
OBS:  57240.38256      i    NULL     1190.524         95.270    19.811     0.086  1.84
OBS:  57251.25647      i    NULL      616.725         70.972    20.525     0.124  1.61
OBS:  57198.33600      i    NULL       15.516         82.549    24.523     5.746  3.33
OBS:  57198.34879      i    NULL      -86.066         64.086       nan     0.804  2.56
OBS:  57198.36160      i    NULL       -4.791         53.083       nan    11.966  2.05
OBS:  57198.37443      i    NULL       17.774         39.687    24.376     2.411  1.77
OBS:  57199.28644      i    NULL       34.513         42.145    23.655     1.319  1.55
OBS:  57199.29906      i    NULL      -21.426         42.124       nan     2.123  1.61
OBS:  57199.31172      i    NULL      -30.945         41.567       nan     1.451  1.58
OBS:  57199.32434      i    NULL       23.072         43.289    24.092     2.026  1.77
OBS:  57233.28077      i    NULL     1506.348         57.522    19.555     0.041  1.34
OBS:  57233.29327      i    NULL     1436.871         59.520    19.606     0.045  1.30
OBS:  57233.31818      i    NULL     1607.910         57.879    19.484     0.039  1.52
OBS:  57233.30577      i    NULL     1577.519         58.309    19.505     0.040  1.35
OBS:  57222.26605      z    NULL     1585.741        101.911    19.499     0.069  1.21
OBS:  57228.26806      z    NULL      770.190        143.064    20.284     0.201  1.49
OBS:  57234.26747      z    NULL     1183.712        141.031    19.817     0.129  1.56
OBS:  57240.38297      z    NULL     1410.222        135.754    19.627     0.104  1.71
OBS:  57251.25683      z    NULL      663.950        116.022    20.445     0.189  1.44
END:
