SURVEY: SNLS3_LC
SNID: 05D3mn
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0089 MW E(B-V)
REDSHIFT_HELIO: 0.76 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53559.367
FILTERS: griz

NOBS: 109
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53518.450 g  NULL    0.0875 1.9747
OBS: 53523.410 g  NULL    0.5244 1.4669
OBS: 53524.300 g  NULL    -0.1631 0.7658
OBS: 53527.350 g  NULL    0.7835 0.6287
OBS: 53531.360 g  NULL    0.3050 0.7491
OBS: 53551.330 g  NULL    7.0584 0.5585
OBS: 53553.410 g  NULL    8.1976 0.7528
OBS: 53563.330 g  NULL    9.1672 2.6456
OBS: 53578.340 g  NULL    1.7166 1.5580
OBS: 53583.300 g  NULL    0.2754 0.8331
OBS: 53586.290 g  NULL    1.7792 0.8426
OBS: 53743.630 g  NULL    -0.7853 0.7758
OBS: 53766.610 g  NULL    -0.2983 0.6868
OBS: 53769.600 g  NULL    -0.5807 0.7147
OBS: 53772.620 g  NULL    0.0114 0.9174
OBS: 53799.480 g  NULL    -0.5578 0.7487
OBS: 53847.570 g  NULL    1.6587 1.6521
OBS: 53851.420 g  NULL    0.8427 0.8624
OBS: 53853.430 g  NULL    -0.3012 0.7467
OBS: 53855.410 g  NULL    0.3487 0.6546
OBS: 53859.360 g  NULL    -0.7896 0.8437
OBS: 53875.360 g  NULL    0.1560 0.6864
OBS: 53879.310 g  NULL    -0.0002 0.7274
OBS: 53883.390 g  NULL    -0.4853 0.7878
OBS: 53888.400 g  NULL    -0.8789 0.6926
OBS: 53892.370 g  NULL    -0.5672 1.1770
OBS: 53906.370 g  NULL    -0.2817 1.1220
OBS: 53911.330 g  NULL    -0.6448 0.9342
OBS: 53508.300 i  NULL    2.6561 1.8224
OBS: 53518.390 i  NULL    1.8780 1.1925
OBS: 53522.310 i  NULL    -1.6937 1.9253
OBS: 53523.300 i  NULL    1.7919 1.9084
OBS: 53527.300 i  NULL    1.0515 0.9348
OBS: 53531.290 i  NULL    2.1692 1.7624
OBS: 53534.310 i  NULL    2.2818 1.4792
OBS: 53550.350 i  NULL    41.9622 0.9894
OBS: 53553.320 i  NULL    46.5918 1.7306
OBS: 53558.270 i  NULL    49.3948 0.8793
OBS: 53563.310 i  NULL    47.3518 2.5678
OBS: 53565.280 i  NULL    45.1488 1.2715
OBS: 53578.310 i  NULL    31.4588 2.4329
OBS: 53583.260 i  NULL    19.0187 1.8479
OBS: 53737.610 i  NULL    2.8696 1.8041
OBS: 53742.630 i  NULL    0.4399 1.2500
OBS: 53766.580 i  NULL    0.5598 0.9855
OBS: 53769.580 i  NULL    1.2834 2.2546
OBS: 53772.590 i  NULL    0.7613 1.7367
OBS: 53791.570 i  NULL    1.8332 1.3663
OBS: 53798.580 i  NULL    3.2954 1.2493
OBS: 53801.570 i  NULL    1.9610 1.1280
OBS: 53847.450 i  NULL    2.8309 1.5223
OBS: 53851.320 i  NULL    -0.9879 1.7461
OBS: 53855.360 i  NULL    0.1831 0.9987
OBS: 53859.310 i  NULL    0.9359 1.2745
OBS: 53875.470 i  NULL    2.9064 1.7635
OBS: 53879.260 i  NULL    0.9907 1.9288
OBS: 53883.330 i  NULL    1.5352 1.2108
OBS: 53888.360 i  NULL    1.4961 2.2476
OBS: 53892.320 i  NULL    0.7473 1.0716
OBS: 53906.310 i  NULL    0.2698 1.5503
OBS: 53910.350 i  NULL    1.4611 1.3534
OBS: 53508.350 r  NULL    -1.3852 1.6750
OBS: 53518.420 r  NULL    0.3633 1.4038
OBS: 53523.390 r  NULL    1.6729 1.0224
OBS: 53527.330 r  NULL    -1.0387 0.7193
OBS: 53531.380 r  NULL    -1.0100 0.9247
OBS: 53534.350 r  NULL    -0.4862 1.1486
OBS: 53550.400 r  NULL    27.9906 0.8117
OBS: 53553.390 r  NULL    30.1057 0.8664
OBS: 53558.310 r  NULL    28.5144 0.9133
OBS: 53565.310 r  NULL    22.6072 1.0457
OBS: 53578.280 r  NULL    11.7250 2.0080
OBS: 53583.280 r  NULL    5.6063 1.1148
OBS: 53586.260 r  NULL    5.4720 1.3724
OBS: 53737.630 r  NULL    1.5495 0.9442
OBS: 53743.650 r  NULL    1.4957 0.7212
OBS: 53766.640 r  NULL    0.9032 0.8880
OBS: 53769.560 r  NULL    1.0525 1.1874
OBS: 53772.630 r  NULL    -4.0257 1.6457
OBS: 53791.620 r  NULL    -0.0965 1.1328
OBS: 53799.460 r  NULL    0.5578 0.8869
OBS: 53848.440 r  NULL    0.5235 1.3737
OBS: 53851.400 r  NULL    -0.1189 0.8721
OBS: 53855.390 r  NULL    -0.0440 0.8210
OBS: 53859.340 r  NULL    1.5966 0.9747
OBS: 53875.500 r  NULL    -0.0316 1.8587
OBS: 53879.290 r  NULL    0.5414 1.0370
OBS: 53883.370 r  NULL    -1.6555 0.9903
OBS: 53888.380 r  NULL    -1.4151 1.0394
OBS: 53892.350 r  NULL    -1.5908 1.2874
OBS: 53906.350 r  NULL    -1.1089 1.0677
OBS: 53911.280 r  NULL    -0.5282 0.9542
OBS: 53508.420 z  NULL    8.6917 5.6552
OBS: 53519.340 z  NULL    4.3035 3.5957
OBS: 53527.380 z  NULL    0.9870 2.6803
OBS: 53534.380 z  NULL    9.3999 4.1286
OBS: 53551.350 z  NULL    39.7836 3.2044
OBS: 53552.360 z  NULL    43.0058 4.5727
OBS: 53558.340 z  NULL    41.4441 2.6835
OBS: 53564.260 z  NULL    50.1602 14.9038
OBS: 53565.350 z  NULL    33.7261 3.7353
OBS: 53799.570 z  NULL    1.3356 3.4676
OBS: 53848.470 z  NULL    -12.2660 5.4092
OBS: 53855.450 z  NULL    4.1990 3.1429
OBS: 53859.400 z  NULL    1.2169 2.8598
OBS: 53875.410 z  NULL    1.5247 4.2336
OBS: 53883.420 z  NULL    -2.5302 4.3838
OBS: 53892.410 z  NULL    0.0944 2.2213
OBS: 53906.400 z  NULL    -13.3405 5.8516
END_PHOTOMETRY:

# =============================================
