SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2016glz
RA: 1.4732305
DECL: 8.4301882
MWEBV: 0.0705 +- 0.0035
FILTERS: griz
REDSHIFT_HELIO: 0.0409939 +- 0.0000700
REDSHIFT_FINAL: 0.0397910 +- 0.0000700
SEARCH_PEAKMJD: 57668.43330
HOSTGAL_LOGMASS: 6.000 +- 0.100
VPEC: 367.932
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 32
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57661.46610      g    NULL    15194.864        272.469    17.046     0.019  2.54
OBS:  57668.43292      g    NULL    14984.022        258.187    17.061     0.019  1.68
OBS:  57680.41758      g    NULL     7049.847        176.471    17.880     0.027  1.72
OBS:  57687.41015      g    NULL     4376.889        127.799    18.397     0.032  2.60
OBS:  57698.31716      g    NULL     1968.849        123.866    19.264     0.068  1.94
OBS:  57710.30459      g    NULL     1574.282        155.455    19.507     0.107  4.77
OBS:  57661.46649      r    NULL    14622.478        256.476    17.087     0.019  3.01
OBS:  57668.43330      r    NULL    15369.836        255.514    17.033     0.018  1.56
OBS:  57680.41797      r    NULL     8870.430        172.983    17.630     0.021  1.55
OBS:  57687.41055      r    NULL     7827.193        159.798    17.766     0.022  2.25
OBS:  57698.31755      r    NULL     6072.031        141.350    18.042     0.025  1.83
OBS:  57710.30497      r    NULL     3349.165        120.502    18.688     0.039  2.93
OBS:  57661.46685      i    NULL     9189.684        194.997    17.592     0.023  2.36
OBS:  57668.43367      i    NULL     8342.910        166.854    17.697     0.022  1.57
OBS:  57680.41834      i    NULL     4220.366        120.378    18.437     0.031  1.39
OBS:  57687.41091      i    NULL     4605.657        127.237    18.342     0.030  2.11
OBS:  57698.31792      i    NULL     4839.770        131.827    18.288     0.029  1.63
OBS:  57710.30534      i    NULL     2730.717        133.540    18.909     0.053  2.65
OBS:  57615.45649      i    NULL       22.534         87.825    24.118     4.209  1.50
OBS:  57615.46831      i    NULL      -53.729         37.802       nan     0.760  1.44
OBS:  57615.49745      i    NULL      -48.236         41.609       nan     0.932  1.58
OBS:  57615.50922      i    NULL       17.696         41.810    24.380     2.552  1.41
OBS:  57680.42026      i    NULL     4278.040         85.187    18.422     0.022  1.67
OBS:  57680.43181      i    NULL     4333.792         81.751    18.408     0.020  1.52
OBS:  57680.44339      i    NULL     4269.271         84.759    18.424     0.021  1.53
OBS:  57680.45503      i    NULL     4256.612         82.621    18.427     0.021  1.54
OBS:  57661.46722      z    NULL     8274.212        235.829    17.706     0.031  1.92
OBS:  57668.43403      z    NULL     7217.298        192.129    17.854     0.029  1.46
OBS:  57680.41880      z    NULL     4055.909        155.027    18.480     0.041  1.29
OBS:  57687.41126      z    NULL     4770.414        168.243    18.304     0.038  2.01
OBS:  57698.31828      z    NULL     4286.027        162.267    18.420     0.041  1.48
OBS:  57710.30570      z    NULL     2178.673        197.276    19.155     0.098  2.72
END:
