SURVEY: CFA4p1
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID:  2008051
IAUC:  2008051
IAUC:    UNKNOWN
RA:   229.99550  deg
DECL:    4.9046472  deg
MWEBV: 0.042700000 MW E(B-V) (SFD98)
REDSHIFT_HELIO:  0.0385 +- 0.000500000  (Hel)
REDSHIFT_CMB:  0.0390597589519 +- 0.000500000  (CMB)
REDSHIFT_FINAL: 0.0390597589519 +- 0.000500000  (CMB)
PRIVATE(COSMO): 1
FILTERS: BVri
SEARCH_PEAKMJD: 54618.3
NOBS: 67
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54618.3     B      md      18775.9    640.257    16.8160    0.0341000
OBS:      54622.3     B      md      16173.3    690.602    16.9780    0.0427000
OBS:      54623.3     B      md      15149.6    1237.72    17.0490    0.0817000
OBS:      54624.3     B      md      14601.6    550.479    17.0890    0.0377000
OBS:      54627.3     B      md      11967.4    409.285    17.3050    0.0342000
OBS:      54628.2     B      md      11194.4    475.761    17.3775    0.0425000
OBS:      54629.3     B      md      10129.8    430.516    17.4860    0.0425000
OBS:      54631.2     B      md      8757.91    329.297    17.6440    0.0376000
OBS:      54634.3     B      md      6183.02    278.236    18.0220    0.0450000
OBS:      54639.2     B      md      4006.82    260.443    18.4930    0.0650000
OBS:      54643.3     B      md      2798.98    184.173    18.8825    0.0658000
OBS:      54648.2     B      md      1828.10    40.2182    19.3450    0.0220000
OBS:      54649.2     B      md      2149.81    68.1489    19.1690    0.0317000
OBS:      54655.2     B      md      1375.31    41.8094    19.6540    0.0304000
OBS:      54672.2     B      md      883.080    18.1914    20.1350    0.0206000
OBS:      54676.2     B      md      583.176    11.4303    20.5855    0.0196000
OBS:      54618.3     V      md      18932.2    331.313    16.8070    0.0175000
OBS:      54622.3     V      md      17701.1    336.321    16.8800    0.0190000
OBS:      54623.3     V      md      16966.8    330.853    16.9260    0.0195000
OBS:      54624.3     V      md      16595.9    459.705    16.9500    0.0277000
OBS:      54627.3     V      md      14269.2    472.311    17.1140    0.0331000
OBS:      54628.2     V      md      13740.4    434.197    17.1550    0.0316000
OBS:      54629.3     V      md      13403.0    329.713    17.1820    0.0246000
OBS:      54631.2     V      md      10341.9    227.522    17.4635    0.0220000
OBS:      54634.3     V      md      9183.32    294.785    17.5925    0.0321000
OBS:      54636.3     V      md      7925.01    431.121    17.7525    0.0544000
OBS:      54639.2     V      md      7627.81    401.986    17.7940    0.0527000
OBS:      54643.3     V      md      6468.45    484.487    17.9730    0.0749000
OBS:      54646.2     V      md      6309.57    1646.80    18.0000    0.261000
OBS:      54648.2     V      md      5032.69    738.798    18.2455    0.146800
OBS:      54649.2     V      md      4201.46    313.009    18.4415    0.0745000
OBS:      54655.2     V      md      3215.14    76.8419    18.7320    0.0239000
OBS:      54672.2     V      md      1961.55    56.2966    19.2685    0.0287000
OBS:      54676.2     V      md      1786.49    100.936    19.3700    0.0565000
OBS:      54618.3     r      md      18264.2    1439.22    16.8460    0.0788000
OBS:      54622.3     r      md      16904.4    709.985    16.9300    0.0420000
OBS:      54623.3     r      md      16527.2    619.771    16.9545    0.0375000
OBS:      54624.3     r      md      15660.3    422.828    17.0130    0.0270000
OBS:      54627.3     r      md      13219.0    539.337    17.1970    0.0408000
OBS:      54628.2     r      md      12635.7    964.106    17.2460    0.0763000
OBS:      54629.3     r      md      12089.3    1118.26    17.2940    0.0925000
OBS:      54631.2     r      md      10432.8    1003.63    17.4540    0.0962000
OBS:      54634.3     r      md      9682.78    2583.37    17.5350    0.266800
OBS:      54636.3     r      md      8725.69    361.243    17.6480    0.0414000
OBS:      54639.2     r      md      9281.12    392.591    17.5810    0.0423000
OBS:      54643.3     r      md      8090.96    280.756    17.7300    0.0347000
OBS:      54648.2     r      md      7085.98    253.678    17.8740    0.0358000
OBS:      54649.2     r      md      6625.21    243.145    17.9470    0.0367000
OBS:      54655.2     r      md      5016.49    215.207    18.2490    0.0429000
OBS:      54672.2     r      md      2815.79    314.805    18.8760    0.111800
OBS:      54676.2     r      md      2396.62    350.626    19.0510    0.146300
OBS:      54618.3     i      md      10214.1    4087.69    17.4770    0.400200
OBS:      54622.3     i      md      8605.97    297.767    17.6630    0.0346000
OBS:      54623.3     i      md      8729.72    249.670    17.6475    0.0286000
OBS:      54624.3     i      md      8024.17    224.677    17.7390    0.0280000
OBS:      54627.3     i      md      6148.94    153.109    18.0280    0.0249000
OBS:      54628.2     i      md      5802.30    145.638    18.0910    0.0251000
OBS:      54629.3     i      md      5582.13    104.386    18.1330    0.0187000
OBS:      54634.3     i      md      5171.31    114.286    18.2160    0.0221000
OBS:      54636.3     i      md      4777.49    176.289    18.3020    0.0369000
OBS:      54639.2     i      md      4681.67    290.731    18.3240    0.0621000
OBS:      54643.3     i      md      4821.70    144.651    18.2920    0.0300000
OBS:      54648.2     i      md      5395.11    686.797    18.1700    0.127300
OBS:      54649.2     i      md      5495.41    801.781    18.1500    0.145900
OBS:      54655.2     i      md      4230.58    114.649    18.4340    0.0271000
OBS:      54672.2     i      md      1894.96    46.6160    19.3060    0.0246000
OBS:      54676.2     i      md      1528.97    46.7866    19.5390    0.0306000
END: 
