SURVEY: SNLS3_LC
SNID: 05D3jr
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0078 MW E(B-V)
REDSHIFT_HELIO: 0.37 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53494.658
FILTERS: griz

NOBS: 85
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53462.490 g  NULL    0.5014 1.3523
OBS: 53463.570 g  NULL    -1.1900 3.2004
OBS: 53466.610 g  NULL    -1.4704 0.8095
OBS: 53469.520 g  NULL    -1.2733 0.7424
OBS: 53473.590 g  NULL    -0.1417 0.9871
OBS: 53495.440 g  NULL    69.9626 0.8560
OBS: 53500.310 g  NULL    51.0074 0.6731
OBS: 53502.390 g  NULL    44.0802 0.8509
OBS: 53505.390 g  NULL    34.8816 1.3574
OBS: 53518.450 g  NULL    10.2368 2.1989
OBS: 53523.410 g  NULL    9.9118 1.5375
OBS: 53524.300 g  NULL    6.0412 0.7665
OBS: 53527.350 g  NULL    6.9738 0.6313
OBS: 53531.360 g  NULL    6.1018 0.7742
OBS: 53551.330 g  NULL    2.2766 0.5418
OBS: 53553.410 g  NULL    1.0900 0.8320
OBS: 53563.340 g  NULL    1.2793 2.2849
OBS: 53578.340 g  NULL    0.6963 1.7199
OBS: 53583.300 g  NULL    1.0998 0.9248
OBS: 53586.290 g  NULL    1.2325 0.8477
OBS: 53743.630 g  NULL    -0.1097 0.5977
OBS: 53766.610 g  NULL    0.6278 0.7000
OBS: 53461.490 i  NULL    -5.4581 3.0802
OBS: 53465.540 i  NULL    4.1615 17.5493
OBS: 53466.550 i  NULL    -2.0214 2.1876
OBS: 53469.450 i  NULL    3.6004 1.6827
OBS: 53473.480 i  NULL    6.4516 2.1608
OBS: 53494.470 i  NULL    126.8352 1.8516
OBS: 53498.360 i  NULL    129.6799 2.2970
OBS: 53502.310 i  NULL    124.9570 3.7655
OBS: 53505.320 i  NULL    118.1845 1.6149
OBS: 53508.300 i  NULL    97.5486 2.3367
OBS: 53518.380 i  NULL    66.3465 2.1773
OBS: 53522.310 i  NULL    56.8427 1.9762
OBS: 53523.310 i  NULL    52.8885 2.2114
OBS: 53531.290 i  NULL    41.9861 2.0226
OBS: 53534.310 i  NULL    34.4368 1.6207
OBS: 53553.320 i  NULL    18.6909 1.9400
OBS: 53563.310 i  NULL    20.3664 2.6765
OBS: 53578.310 i  NULL    14.2406 2.9677
OBS: 53583.260 i  NULL    11.4803 1.8406
OBS: 53737.610 i  NULL    -0.2354 2.0796
OBS: 53742.630 i  NULL    1.9705 1.4193
OBS: 53766.600 i  NULL    2.6725 2.2654
OBS: 53461.540 r  NULL    3.2815 2.2739
OBS: 53466.580 r  NULL    -1.8071 1.4018
OBS: 53469.490 r  NULL    -1.0756 1.0635
OBS: 53473.560 r  NULL    3.4554 1.2957
OBS: 53494.510 r  NULL    129.3367 2.0617
OBS: 53495.420 r  NULL    127.5584 1.4069
OBS: 53498.380 r  NULL    122.8608 1.3597
OBS: 53502.360 r  NULL    103.1015 1.0760
OBS: 53505.360 r  NULL    87.8066 1.3737
OBS: 53508.350 r  NULL    76.0537 1.8283
OBS: 53518.420 r  NULL    32.8569 1.6640
OBS: 53523.390 r  NULL    22.6861 1.1534
OBS: 53527.330 r  NULL    21.0394 0.7987
OBS: 53531.380 r  NULL    17.6862 1.1713
OBS: 53534.350 r  NULL    14.3993 1.2023
OBS: 53550.400 r  NULL    8.8165 0.8965
OBS: 53553.390 r  NULL    8.2609 1.0108
OBS: 53558.310 r  NULL    7.6145 0.9030
OBS: 53565.310 r  NULL    7.4159 1.1604
OBS: 53578.280 r  NULL    7.9631 2.4785
OBS: 53583.280 r  NULL    2.6740 1.3379
OBS: 53586.260 r  NULL    11.3013 1.6899
OBS: 53737.630 r  NULL    1.6872 1.0151
OBS: 53743.650 r  NULL    1.0661 0.7773
OBS: 53766.640 r  NULL    2.3268 0.7521
OBS: 53461.590 z  NULL    -2.7190 8.0634
OBS: 53462.570 z  NULL    -4.9948 8.3749
OBS: 53469.550 z  NULL    -3.2762 3.4233
OBS: 53475.430 z  NULL    17.4064 3.5675
OBS: 53495.470 z  NULL    112.2502 3.7672
OBS: 53502.280 z  NULL    102.5085 3.2310
OBS: 53505.350 z  NULL    90.3292 2.6979
OBS: 53508.420 z  NULL    70.0290 5.6829
OBS: 53519.340 z  NULL    53.6839 3.6719
OBS: 53527.380 z  NULL    43.2419 2.6722
OBS: 53534.380 z  NULL    40.5528 4.0891
OBS: 53551.350 z  NULL    21.4930 3.1778
OBS: 53552.360 z  NULL    13.5847 4.2311
OBS: 53558.340 z  NULL    20.7774 2.7990
OBS: 53564.260 z  NULL    42.7200 14.8311
OBS: 53565.350 z  NULL    9.8595 3.9185
END_PHOTOMETRY:

# =============================================
