SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2016aqb
RA: 170.4932366
DECL: -13.9836688
MWEBV: 0.0323 +- 0.0016
FILTERS: griz
REDSHIFT_HELIO: 0.0628938 +- 0.0000397
REDSHIFT_FINAL: 0.0641209 +- 0.0000397
SEARCH_PEAKMJD: 57453.22691
HOSTGAL_LOGMASS: 10.397 +- 0.013
VPEC: -57.635
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 38
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57445.55943      g    NULL     7604.746        220.932    17.797     0.031  1.81
OBS:  57449.46391      g    NULL     8491.246        186.139    17.678     0.024  2.02
OBS:  57454.42733      g    NULL     8238.364        233.159    17.710     0.031  3.56
OBS:  57459.43466      g    NULL     6220.535        157.998    18.015     0.027  2.74
OBS:  57465.45956      g    NULL     4239.877        171.779    18.432     0.044  2.06
OBS:  57475.37150      g    NULL     1675.510        114.156    19.440     0.074  2.03
OBS:  57489.29588      g    NULL      881.780         75.348    20.137     0.092  1.79
OBS:  57445.55985      r    NULL     6403.275        163.032    17.984     0.028  1.53
OBS:  57449.46431      r    NULL     7564.292        157.434    17.803     0.023  1.85
OBS:  57454.42774      r    NULL     7353.811        185.857    17.834     0.027  3.04
OBS:  57459.43506      r    NULL     6320.738        140.598    17.998     0.024  2.27
OBS:  57465.45997      r    NULL     4707.509        131.820    18.318     0.030  1.80
OBS:  57475.37190      r    NULL     3542.543        116.633    18.627     0.036  1.95
OBS:  57489.29629      r    NULL     1938.792         77.761    19.281     0.043  1.49
OBS:  57448.43818      r    NULL     7313.120        117.155    17.840     0.017  1.68
OBS:  57448.45931      r    NULL     7414.996        119.235    17.825     0.017  1.67
OBS:  57448.46971      r    NULL     7430.789        120.052    17.822     0.018  1.60
OBS:  57448.44892      r    NULL     7049.363        116.386    17.880     0.018  1.90
OBS:  57462.38507      r    NULL     5279.718         93.343    18.193     0.019  1.75
OBS:  57462.39693      r    NULL     5337.669         99.206    18.182     0.020  2.32
OBS:  57445.56020      i    NULL     4791.540        149.517    18.299     0.034  1.62
OBS:  57449.46466      i    NULL     4563.343        123.486    18.352     0.029  1.80
OBS:  57454.42809      i    NULL     3998.439        160.834    18.495     0.043  2.95
OBS:  57459.43541      i    NULL     3539.893        119.841    18.628     0.037  2.09
OBS:  57465.46043      i    NULL     2373.404        114.813    19.062     0.052  1.83
OBS:  57475.37226      i    NULL     2690.722        115.926    18.925     0.047  1.90
OBS:  57489.29664      i    NULL     1822.136         90.410    19.349     0.054  1.45
OBS:  57501.36510      i    NULL      728.454         79.895    20.344     0.118  1.80
OBS:  57501.37733      i    NULL     1056.431         90.272    19.940     0.092  2.23
OBS:  57501.38958      i    NULL      985.171         98.322    20.016     0.108  2.47
OBS:  57501.40183      i    NULL     1152.379        208.146    19.846     0.195  3.63
OBS:  57445.56055      z    NULL     4271.081        176.848    18.424     0.045  1.45
OBS:  57449.46503      z    NULL     4366.405        157.199    18.400     0.039  1.80
OBS:  57454.42845      z    NULL     3318.579        250.224    18.698     0.081  3.34
OBS:  57459.43576      z    NULL     2627.211        160.631    18.951     0.066  2.09
OBS:  57465.46079      z    NULL     2299.286        146.875    19.096     0.069  1.72
OBS:  57475.37261      z    NULL     2030.937        156.176    19.231     0.083  1.77
OBS:  57489.29700      z    NULL     1612.555        126.451    19.481     0.085  1.29
END:
