SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2016hpx
RA: 90.8193798
DECL: -26.8985825
MWEBV: 0.0245 +- 0.0012
FILTERS: griz
REDSHIFT_HELIO: 0.0333750 +- 0.0004650
REDSHIFT_FINAL: 0.0336857 +- 0.0004650
SEARCH_PEAKMJD: 57706.52287
HOSTGAL_LOGMASS: 9.895 +- 0.013
VPEC: -366.726
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 31
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57696.61383      g    NULL    19479.628        341.391    16.776     0.019  3.01
OBS:  57700.53834      g    NULL    24803.439        500.227    16.514     0.022  2.16
OBS:  57736.45500      g    NULL     3500.212        284.961    18.640     0.088  2.17
OBS:  57745.46444      g    NULL     2736.080        121.862    18.907     0.048  2.49
OBS:  57696.61425      r    NULL    17510.858        303.945    16.892     0.019  3.03
OBS:  57700.53875      r    NULL    23220.220        457.028    16.585     0.021  1.96
OBS:  57706.52329      r    NULL    23523.830        409.567    16.571     0.019  2.43
OBS:  57736.45541      r    NULL     9181.110        235.683    17.593     0.028  1.81
OBS:  57745.46485      r    NULL     5483.545        144.479    18.152     0.028  2.41
OBS:  57696.61459      i    NULL    12652.195        251.025    17.245     0.021  2.73
OBS:  57700.53909      i    NULL    14502.020        380.976    17.096     0.028  1.66
OBS:  57706.52364      i    NULL    13009.158        263.984    17.214     0.022  2.08
OBS:  57736.45576      i    NULL     7810.903        200.161    17.768     0.028  1.62
OBS:  57745.46520      i    NULL     4511.789        139.460    18.364     0.033  2.25
OBS:  57676.60596      i    NULL      -15.377        123.070       nan     8.644  2.52
OBS:  57676.61241      i    NULL       77.402        130.705    22.778     1.824  3.50
OBS:  57676.61886      i    NULL        2.587         86.837    26.468    36.252  2.29
OBS:  57676.62531      i    NULL       70.580        164.887    22.878     2.523  1.99
OBS:  57705.53633      i    NULL    13754.359        218.034    17.154     0.017  2.16
OBS:  57705.54578      i    NULL    13721.565        219.070    17.156     0.017  2.26
OBS:  57705.55523      i    NULL    13774.778        217.045    17.152     0.017  2.09
OBS:  57705.56467      i    NULL    13863.303        217.357    17.145     0.017  2.12
OBS:  57766.34941      i    NULL     2162.628         96.979    19.163     0.048  2.41
OBS:  57766.36042      i    NULL     2119.833         90.748    19.184     0.046  2.09
OBS:  57766.37143      i    NULL     2156.371         97.505    19.166     0.049  2.18
OBS:  57766.38242      i    NULL     1910.843         92.068    19.297     0.052  2.15
OBS:  57696.61494      z    NULL    11324.328        293.657    17.365     0.028  2.55
OBS:  57700.53944      z    NULL    13625.935        489.900    17.164     0.039  1.66
OBS:  57706.52399      z    NULL    12362.838        290.066    17.270     0.025  2.07
OBS:  57736.45612      z    NULL     7327.566        226.149    17.838     0.033  1.55
OBS:  57745.46556      z    NULL     4359.868        186.690    18.401     0.046  2.14
END:
